stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,26.21,812.7,0,0,0,0,0,0,0,0,0,0,0,0,53.91,0,0,0
  5-6,15.16,1225.24,9.08,0,0,0,0,0,0,0,63.11,0,0,0,32.48,0,0,0
  7-9,41.48,29.68,14.76,0,0,205.13,0,0,77.82,0,1200.42,68.95,0,356.32,0,0,0,0
 10-12,0,73.67,79.92,0,11.91,151.35,0,0,31.96,0,903.59,5.62,0,295.99,0,38.84,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,1.71,0
 24-34,0,0,0,0,0,0,0,0,0,0.63,3.84,0,0,0,0,0,0,0.69
 36-46,0,0,0,0,0,1.62,0,0,0,0,1.54,0,0,0,0,0,0,0
 48-58,0,0,0,0.43,0,0.99,0.9,0,0,3.02,1.27,0,0,0,3.13,0,0,0.85
 60-70,0,0,0,0,0,4.65,0,0,0,0.84,4.17,0,0.62,0,0,0,0,3.44
 72-82,0,0,0,0,0,0,0,0,0,5.07,1.17,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.68,0,0.72,0,0,1.08,0,0,0,0,0,0,0.83
 96-106,0,0,0,0.68,0,1.51,0,0.94,0,5.14,0.87,0,0,0,0,0.82,0,0
108-118,0,0,0,0,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,7.01,5.54,0,0,0,2.19,0,0,0
