stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,iridophores,liver,melanocytes,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  5-6,0,20.81,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0
  7-9,4.21,0,0,0,0,0,0,0,0,0,0,0,10.17,0,4.05,0,0,0,0
 10-12,0,0,0,0,3.88,0,0,0,0,0,0,0,8.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.17,0,0,0,0,0,1.22,0,0,0,0,4.81,0
 24-34,0,0,0,0,0,0,0.63,0,0,0,1.63,0,2.07,0,0,0,0,0,0
 36-46,0,0,0,0,3.2,0,0,0,0,0,8.91,0,6.58,0.73,0,0,0,0,0
 48-58,0,0,0,0,3.68,0,1.61,0,0,0,4.35,0,0,0,0,0,0,9.63,6.14
 60-70,0,0,0,0,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68
 72-82,0,0,0,0,13.12,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0
 84-94,0,0,1.45,0,31.62,0.56,0,0,0,0,13.94,0,0,0,0,0,0.56,0,0
 96-106,0,0,0,0,45.43,0,0,0.67,0,0.73,0,1.15,4.47,0,0,1.14,3.19,4.06,0
108-118,0,0,1.64,0.75,40.23,0,0,0,1.16,0.46,0,1.72,11.53,0,0,0,3.07,0,11.99
120,0,0,0,0,5.53,0,0,0,0,4.13,0,0,13.35,4.31,0,0,2.92,0,0
