stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,6.37,104.86,19.23,0,15.06,0,1.82,0,6.47,4.76,0,1.52,0,2,0,0,0,0.88,37.58,0,0,31.55,340.64,14.4,6.18,1.89,2.88,0,49.59,1.31,16.33,7.33,4.8,38.94,129.72,0,0,10.75,0,0
 24-34,1.1,8.01,74.78,0.74,0,62.73,0,8.7,1.66,19.51,0,0,5.44,4.33,17.99,1.57,5.29,4.19,2.9,91.23,0,0,37.31,1155.9,19.99,24.9,14.1,0,0.99,120.41,0,0,7.41,3.4,12.89,253,0,0,47.97,0,5.01
 36-46,1.56,0,66.57,15.58,0,136.76,5.17,6.36,6.26,76.85,0,0,1.13,32.21,9.55,0,3.04,1.14,8.05,137.3,5.11,0,31.8,1471.73,7.63,14.47,10.04,0,0,135.42,0,0,12.35,1.71,0.83,334.43,0,0,47.63,0,6.53
 48-58,0,0,67.77,0,0,376.82,5.83,13.93,6.59,150.99,2.34,1.17,6.45,11.1,16.3,0.8,5,2.37,1.93,203.89,3.52,2.8,30.8,1584.73,8.71,22,11.9,0,0.59,73.9,0,0,7.13,5.43,0,422.45,0,0,51.25,0,29.49
 60-70,0.86,0,55.15,0.96,0,797.02,3.33,18.16,22.85,164.61,0,1.63,3.16,15.63,4.53,2.1,8.66,1.41,2.09,224.4,2.82,5.8,28.26,1341.26,6.95,2.98,14.83,0,2.17,106.52,0,0,7.19,16.84,0,261.43,0,5.04,27.48,0.61,3.47
 72-82,1.99,0,63.16,31.79,0,668.18,5.47,11.93,13.79,160.94,4.55,0.6,8.16,20.02,3.56,2.33,10.22,0.62,8.09,310.51,4.69,19.15,27.02,1193.08,2.98,30.86,18.2,0,5.79,70.83,0,0,3.86,3.62,0,155.08,2.28,9.11,83.15,13.32,25.9
 84-94,4.8,0,86.38,39.99,0,453.54,1.23,18.06,31.86,138.54,6.27,0,7.52,31.99,15.22,7.17,11.06,5.74,7.45,240,3.57,11.13,24.54,751.67,6.82,8.03,22.93,0,9.26,160.98,0,0,8.17,9.93,0,63.97,5.61,4.33,82.45,12.52,26.75
 96-106,2.46,0,89.54,32.08,1.14,526.38,8.94,22.67,3.91,153.32,13.32,0,3.84,25.57,9.22,6.36,6.39,10.45,3.94,275.16,8.21,13.46,14.1,767.63,2.56,30.08,21.24,0,7.41,180.95,0,0,2.44,0,0,24.36,3.74,6.74,60.74,7.38,15.86
108-118,1.03,0,109.64,41.29,11.73,356.69,3.96,28.89,9.67,138.45,8.79,0,5.02,28.33,24.44,13.19,5.15,14.72,7.39,272.5,13.43,24.44,21.26,794.92,3.71,11.47,17.8,0,7.75,144.58,0,0,8.59,2.71,0,26.75,9.7,5.93,92.32,6.43,19.76
120,0,0,142.52,3.19,3.76,339.3,0,18.03,3.6,239.32,36.36,0,14.77,32.22,16.88,6.64,10.39,30.64,13.26,228.66,20.52,19.98,14.19,1032.74,10.05,13.65,21.78,0,14.37,88.93,0,0,1.58,1.22,0,36.53,20.74,0,113.89,21.81,7.43
