stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0
 24-34,0,1.16,0,1.24,0,0,0,0,1.19,7.26,0,0,0,0.69,0,0,0
 36-46,0,0,0,2.08,0,1.3,0,0,1.99,5.72,0,0.56,0,0,0,0,0
 48-58,0,0.41,0,4.37,0,0,1.18,0,0,12.14,0,0,0,0,0,0,0
 60-70,0,0,0,11.47,0,0,8.17,0,0,8.2,2.09,0,0,2.23,0,0,0
 72-82,0,0,0,19.57,1.83,0.67,14.14,0,0,13.58,0,0,0,0,0.72,0,1.07
 84-94,0,0,0,10.87,0,0,12.21,0,0,10.99,0,0,0,0,0,2.42,0
 96-106,0,0,0,12.8,0,0.68,28.97,2.18,0,15.44,0,0,1.35,0,0,0,0
108-118,0.98,0,1.16,21.68,0,1.13,7.72,4.08,0,8.3,0,0,0,0,0,1.09,0.68
120,0,0,0,29.96,0,0,12.63,0,0,19.42,0,0,0,0,2.93,0,0
