stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste
  3-4,28.85,608.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.25,0,0,0,0,0,0
  5-6,11.85,225.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,6.92,0,0,0,0,0,0
  7-9,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.85,0,0,0,3.73,0,16.46,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.18,0,1.35,0,0,0,2.23,0,0,0,0,0,0,44.21,5.35,0,7.3,0.99,4.74,0,4.23,0,1.16,0,0
 24-34,0,0,0,2.61,0,1.07,1.24,0,0,0,0,0.84,0,0,0,0,46.55,0,0,9.52,0,0,0,7.19,2.31,0,3.54,0
 36-46,0,0,0,1.98,0,1.07,0,0,0,1.91,2.49,0.66,0,0,0,0,64.75,0,1.95,1.4,0,0,0,3.67,0,0,0,0
 48-58,0,0,0,0.37,0,1.55,0,0.86,0,9.36,0,0.98,1.12,0.53,0,0.57,33.07,5.29,0,3.57,0,0,0,3.09,0,0,0,0
 60-70,0,0,0,0,0,19.17,0,3.94,0,7.4,1.46,3.57,0,0,0,0.79,20.42,0,2.32,12.62,0,0,0,1.35,0,0,2.93,0
 72-82,0,0,0,0,0.65,2.04,0,21.23,0,6.14,0,4.14,0.52,1.8,0.56,0,25.91,0,0.49,13.37,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,1.8,0,1.5,0,6.28,0,6.59,0,3.9,0,0,0,0,17.98,0,0,28.44,0,1.1,0,5.79,0,0,0,0
 96-106,0,0,0,2.52,0,1.46,0,12.89,0,0,4.79,7.28,0.85,0,1.11,0,21.31,0,4.79,34.95,0,2.61,0,0.61,0,0,0,0
108-118,0,0,0.61,0.42,0.89,3.2,0,24.7,0.56,0,1.41,8.53,0,0,0,0,20.04,0,2.09,45.12,0,6.45,0,3.83,0,0,0,1.25
120,2.23,0,0,8.08,0,7.18,0,50.49,0,0,5.79,13.46,9.21,0,0,0,16.25,0,7.53,31.15,0,0,0,8.87,0,0,0,0
