stage,blastomeres,epidermis,eye,neural,somites,spinal_cord
  3-4,15.87,0,0,0,0,0
  5-6,9.71,0,0,0,0,0
 10-12,0,0,0,9.68,0,0
 14-21,0,0,0,0,0.97,0.95
 36-46,0,0,0,1.49,0,1.02
 48-58,0,2.75,0,0.78,0,0
 72-82,0,0,0.63,1.04,0,0
 84-94,0,0,0.64,0,0,0
108-118,0,0,0,5.17,0,0
