stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,122.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57,0,0,0,0,0,0,0,0
  5-6,10.06,61.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,14.09,0,7.62,0,0,0,0,0,0,0
 10-12,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,8.18,0,0,5.64,0,0,0,0,0,0
 14-21,0,0,0,1,7.99,0,1.33,0,0,0.96,0,3.27,6.68,0,1.46,8.62,0,0,0,0,0,1.56,5.21,2.97,0,0,0,4.43
 24-34,0,0,0,0,1.22,0,0,0,0,1.15,0,7.55,6.65,0.63,0.64,6.96,0,0.74,0,0.73,0,0,0,0,0,0,0,34.45
 36-46,0,0,0,0,1.4,0,0,0,0,3.94,0,55.43,0,0,0,6.96,0,0,0,0,0,0,0,0,1.96,0,0.8,42.9
 48-58,0,0,0,0,3.91,0,0,0,0,7.48,0,88.57,0.95,0,0.41,10.63,0,0,0,0,0,0,0,0,0,0,0,59.04
 60-70,0,0,0,0,5.19,0,0,0,0,3.95,0,58.76,1.16,1.6,0,3.59,0,0,0,0,0,0,0,0,2,0,0,58.66
 72-82,0,0,0,0,3.21,0,0,0,0,12.1,0,40.51,0.5,0,0,14.09,0,0,0,0,0,0,0,0,1.01,1.22,0,85.26
 84-94,0,0,0,2.64,25.27,0,0,0,1.52,10.05,0,51.45,0,0,0,5.77,0,0,0,0.59,0,0,0,0,0,4.83,0,66.28
 96-106,0,0,0,1.47,10.4,0.93,2.67,0,0,6.26,0,33.31,0,0,0,8.02,0,0,0,3.12,0,0,0,0,0,1.86,0,83.84
108-118,0,0,0,3.88,14.35,0,1.87,2.71,0,28.62,0,58.91,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0.83,0,100.08
120,0,0,0,1.23,17.64,0,0,0,0,8.39,11.4,25.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.21
