stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.19,0,0.87,0,0,0,0,0,69.49,0,0,0,0,0,0,37.75,0,0,27.9,52.88,1.86,0,0,0,0,3.03,1.7,0,1080.33,526.11,9.42,0,0,0,0,0
 24-34,0,5.57,1.16,15.84,548.41,0.68,0.99,2.24,0,118.25,2.74,5.47,0,0,1.66,0,23.71,0,0.82,206.79,222.26,9.12,1.34,5.24,0,0,23.18,6.18,0.69,858.67,650.24,56.35,0,0,15.28,0,0
 36-46,0,2.12,0,29.17,1179.36,0,0,3.34,2.91,57.51,1.66,0,0,1.89,0,0,40.97,0,0,180.51,144.6,3.1,0,0,7.09,0,1.4,1.05,0,627.21,48.96,71.45,0,0.62,0.56,0,5.35
 48-58,0,14.67,0,110.88,837.12,0,0,11.56,0.89,13.36,0,0,0,0,0,0,21.38,0.41,0.84,87.98,299.84,2.41,0,1.78,4.77,0,21.19,0,0,358.85,0,85.54,0,1.9,4.81,0,18.37
 60-70,0,6.32,0,82.83,591.03,1.62,0,43.82,0,26.13,0.57,0,0,0,0,0,21.14,0,2.07,108.57,193.28,10.83,0,1.3,1.62,0,14.52,0,0,179.51,0,45.01,0,0.57,0,0,6.89
 72-82,1.52,2.85,6.94,81.27,359.74,1.59,1.91,14.36,0,5.21,0.68,0.63,4.18,9.68,1.4,0,47.13,0,1.52,91.6,137.88,1.37,1.27,1.39,1.13,0,22.83,0,0,95.63,0,39.26,0,0,3.69,0.84,29.79
 84-94,1.2,5.63,22.48,124.56,641.28,0.61,1.3,8.49,0.76,5.42,1.04,0,1.74,0,0,10.27,34.19,0,0,69.46,138.88,2.22,6.28,6.44,0,0,52.96,0,0,151.98,0,37.48,0.71,1.15,9.5,3.44,0
 96-106,4.78,4.76,24.62,183.3,673.72,0,1.14,13.43,0,10.55,0.58,0,2.1,3.93,0,3.66,76.28,7.99,7.4,73.41,152.93,1.64,0,7.53,0,0.83,46.23,0,0.7,141.01,0,17.4,1.53,1.16,8.94,9.84,23.54
108-118,0.71,10.51,2.31,76.26,413.17,2.17,3.26,20.18,1.83,21.55,0.6,0.57,2.81,3.15,2.54,0,49.34,7.59,10.46,81.99,126.7,0.47,0,4.06,0,6.32,46.07,0,0,124.42,0,7.8,0,0,2.64,5.83,17.75
120,0,7.9,0,114.89,317.26,0,6.55,18.26,0,2.29,4.33,0,0,0,0,0,50.35,0,5.51,109.28,149.75,0,0,1.61,0,14.99,42.66,1.12,0,40.33,0,0,0,2.71,0,6.53,0
