stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,0,81.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,36.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,0,0
  7-9,12.77,0,0,0,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,9.43,10.59,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,0,12.03,0,0,0,0,0,0,0,8.63,0,0,0,3.73,0,0,0,84.58,50.42,0,0,9.24,3.3,0,0,0,0,0
 14-21,0,0,0,0,6.93,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0.93,1.01,0,0,0,76.86,3.4,0,1.15,0,0
 24-34,0,0,0,0,5.66,3.11,0,0,0,0.75,0,0,0,0,3.07,6.09,1.68,0.66,0.91,9.77,0,0,0,0,41.21,0,0,2.66,0,0
 36-46,0,0,0,0,12.59,0,0.58,0,0,0,0,0,0,0,2.51,3.93,0.65,0,0,3.56,0,0,0,0,42.44,0,0,2.63,0,2.8
 48-58,0,0,0,0,8.83,0,6.96,0,0,0.51,1.92,0,0,0,0,16.8,0.69,2.63,0.52,17.18,0.52,0.6,0,0,19.2,0,0,4.96,0,0
 60-70,0,0,0,0,3.92,0,7.78,0,0,0,6.14,0,0.7,0,0,3.74,1.62,0,0,5.44,0,1.56,0,0,14.71,0,0,1.23,0,0
 72-82,0,0,0,0,0,0,4.62,0,0,0.74,57.6,0,0,0,0,9.57,0.68,0,0,23.77,0,3.83,0,0,11.97,0,0.76,0,0,0.72
 84-94,0,0,0,0,0,0,6.76,0,0,0,126.04,0,0,0,1.54,2.2,7.05,0,1.34,10.64,0,0,0,0,18.11,0,2.45,0,0,0
 96-106,0,0,6.18,0,2.49,5.21,24.75,0,0,0,246.05,0,0,1.4,3.74,8.66,1.39,0,0,36.41,0,0,0,0,25.47,0,0,0,3.18,0.7
108-118,0,0,0,0,0,4.46,9.68,0.78,3.09,1.72,368.42,0,0,0,0.55,14.23,9.35,0,0,56.77,0,7.76,1.01,0,14.02,0,2.35,0,0,2.69
120,0,0,1.22,0,3.38,0,26.62,0,0,0,165.52,0,0,0,1.29,13.73,3.05,0,0,79.01,0,3.5,0,0,7.36,0,0,0,0,0
