stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.36,289.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0,0
  5-6,0,152.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,35.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.23,0,0,0,39.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.16,0,33.93,0,9.65,0,21.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.63,9.69,0,0,53.27,0,0,0,20.92,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,8.09,1.9,0,5.72,0,0,0,6.45,0.85,0,0,0.98,0,0,0,0,2.77,0,0,6.42,64.2,1.01,0,0.86,1.72,0,0,4.32,3.63,1.08,7.24,49.62,0,0,0,0,0
 24-34,0,0,0,1.95,1.29,0.85,0,17.3,0,3.57,0.79,4.6,0,0,0,0,0,0,0,0,13.33,0,1.66,10.74,228.48,0.83,16.91,5.67,0,0,2.35,0,0.79,0,2.62,65.18,0,0,4.98,0,0
 36-46,0,0,0,0,12.57,0.61,0,69.51,0,1.19,5.18,18.67,0,0.69,3.12,3.82,0,0.8,0,12.23,22.71,3.65,1.42,4.9,384.05,0,13.09,5.53,0,0,17.05,0,0.6,0,0.8,100.89,0,0,0.59,0,2.15
 48-58,0,0,0.42,0,3.38,0.44,0,181.45,2.19,0,0.94,50.85,0,0,0,0.86,0.43,0.8,1.05,4.45,38.23,1.16,0.52,6.02,487.49,0,10.35,8.63,0,0,3.11,0,0,0,0,105.78,0,0.98,3.13,0,0.69
 60-70,0,0,0,0,18.74,0,0,380.32,1.34,10.5,4.19,61.8,0.96,0,1.44,1.16,0,1.61,1.41,0,55.18,0,1.43,1.96,616.11,0.66,10.5,20.69,0,0,3.54,0,1.74,0,0,102.69,0,1.56,11.58,0,2.47
 72-82,0,0,3.22,0,5.64,5.17,0,416.06,0,0,4.36,56.04,1.14,2.21,0,6.84,0,5.09,1.61,7.64,52.84,0,1.88,4.78,451.35,0,15.65,14.69,0,1.06,6.19,0,0.63,0,0,50.75,0.62,2.94,13.49,0,4.22
 84-94,0,0,2.22,0,11.01,2.94,0,310.97,0,3.75,1.17,45.24,2.26,2.86,3.03,0,1.31,8.87,5.01,3.09,78.04,0,1.19,11.41,274.71,0,15.11,23.21,0,0,9.14,0,0,0,0,38.7,0,0,4.58,1.09,0
 96-106,0,0,1.95,0,8.17,12.25,1.5,208.46,1.33,1.35,3.65,51.19,0,1.6,2.1,1.22,3.93,15.41,2.44,0,49.85,0,0,11.31,225.85,0,24.34,16.96,0,0,15.23,0,1.71,0,0,13.94,0,0,6.58,1.34,1.24
108-118,0,0,0,0,12.2,5.21,10.91,178.27,1.74,1.73,0,63.3,1.94,0,0.43,0.45,0.7,6.41,0.9,10.64,25.14,3.12,4.87,1.27,317.79,0,5.9,36.29,0,15.99,3.7,0,0.95,0.43,0,27.28,1.17,0.85,8.12,0,0.57
120,0,0,0,0,12.92,1.33,0,188.98,1.49,0,5.08,124.34,5.89,0,2,0,11.35,11.73,2.08,7.72,68.4,3.54,0,1.13,553.66,4.62,35.48,35.56,0,0,12.67,0,5.04,0,0,0,0,0,18.14,0,0
