stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.09,2.32,0,0,0,0,0,0,0,0,0,7.87,0,0,0,3.41,0,0,0
 24-34,2.28,0,0,0,0,0.68,0,0,2.33,0,0.73,25.81,0,0.71,1.58,6.23,0,1.86,0
 36-46,0,0,2.22,0,3.87,0,0,0,0,0,1.5,37.28,0,0.58,0,4.04,0,0,0
 48-58,1.46,0,9.4,0,1.37,0,17.5,2.43,5.02,0,1.36,46.43,0,0,0,6.66,0,0,0
 60-70,0,0,15.71,1.48,0,0,0,0,0,0,0,8.63,1.59,0,0,2.39,0,0,0
 72-82,0,0,23.52,0,1.11,0,0,0,4.19,0,0,52.7,0,0,0,10.55,0,0,0.5
 84-94,1.43,0,10.78,0,0,0,0,0,3.01,0.94,0,23.6,0,1.71,0,0,1.03,0,0
 96-106,0,0,4.3,0,0,0,0,0,0,0,1.08,15.72,0,0.73,0,2.05,0,4.17,0
108-118,0,0,7.05,0,0,0,0,0,3.81,0,0,13.31,0,0,0,10.42,0,0,0
120,0,0,6.12,0,12.54,0,0,0,2.5,0,2.44,46.78,0,2.18,0,0,0,0,0
