stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.81,0,0,3.15,0,0,0,0,0,0.85,0,0.84,0,0,0,1.01,3.74,0,0,0.91,32.43,1.93,0,0,1.07,0,2.79,1.05,0,5.26,6.53,0,0,0,0,0
 24-34,0,3.48,0.95,0,8.5,0,1.49,2.39,0,0,0,0,4.76,0,0.71,0,0.66,4.6,0,0.81,3.22,75.26,1.66,0.6,1.33,0,0,0,0,2.17,0.62,12.51,0,0,0.88,0,0
 36-46,0,2.96,0,0,12.88,0,0,0,0,0,0,0,5.14,0,0,0,0.7,5.13,0,0,2.13,104.84,19.7,8.63,0,0,0,0,0,0,0,17.29,0,0,0.6,0,0
 48-58,0,6.74,0,0,29.39,1.4,0,0.86,5.62,0,0.5,0,5.81,0,0.95,3.02,6.52,20.8,0,0,3.16,167.33,2.5,3.51,3.34,0,0,2.76,0,0.4,0,11.24,0,0,0.71,0,9.85
 60-70,0,1.97,0,0,50.41,1.17,0,1.47,22.86,1.59,1.88,2.46,11.41,0.61,5.84,0,5.98,36.02,0,0,1.65,155.51,2.52,3.93,3.08,0,1.65,0,0,0,0,31.45,0,0,10.04,1.15,8.26
 72-82,0,2.14,0,0,50.97,0,0,3.85,26.52,0.5,0,0.49,0,4.18,4.16,0.96,6.36,33.36,0,11.82,1.26,124.82,0,7.08,2.88,0,0,0,0,0,0,29.7,0,0.72,27.46,2.91,3.54
 84-94,0,3.24,0,1.52,41.09,0,0.75,3.19,19.17,0,0,3.49,4.56,2.55,13.47,0,5.58,32.62,0,3.17,9.21,85.17,5.57,15.52,5.64,0,0,3.71,0,0.74,0,4.09,0,0,15.28,1.25,5.84
 96-106,2.31,4.04,17.29,1.12,39.36,0.76,0,1.78,26.81,0.67,0.73,3.6,0.79,6.96,5.72,0,8.07,24.52,16.23,7.72,4.55,118.33,7.83,0,2.06,0,0,0.8,0,0,0,6.32,0.72,0,26.75,1.5,0
108-118,2.35,1.13,0.56,6.53,48.69,0.5,0,5.49,40.74,1.19,0.69,13.29,11.48,0,10.07,6.36,12.5,46.77,1.94,2.66,3.89,118.34,0.81,4.54,8.23,0,11.7,1.59,0,0,0,3.25,0.54,2.65,19.82,2.16,7.75
120,0,9.88,2.1,1.6,52.49,1.61,7.36,0,26.39,0,0,1.24,5.2,0,5.97,4.74,1.79,87.1,0,12.51,0,209.58,0,8.23,6.7,0,2.76,0,0,0,0,43.07,0,0,39.26,0,0
