stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,38.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.22,61.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.37,0,0,4.29,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,138.03,0,0,0,10.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.66,18.31,0,0,32.64,0,0,0,9.24,0,0,0,0,0,0,0
 14-21,0,1.36,2.85,76.5,11.47,22.27,0,0,14.54,2.89,0,2.78,0.97,0,0,0.85,42.6,0,0,29.1,282.15,18.68,2.03,8.52,16.54,0,13.39,64.83,4.97,1.16,32.99,109.02,0,5.57,0,0
 24-34,0,0,0,4.91,0,9.68,1.04,0,5.71,0,0,0,0.65,4.64,1.67,0,21.99,0,0,5.92,93.51,3.06,4.39,0.69,0,0,5,0,0,0,1.37,16.9,0,3.25,0,0
 36-46,0,0,0,2.22,0,4.67,0,0.87,6.45,0,0,1.51,0,0,0,0,16.09,0,0,2.87,28.77,1.47,2.81,3.1,0,0,22.38,0,0,0,0,7.77,0,0,0,0
 48-58,0,0,0,1.53,0,12.95,0,1.73,15.61,0,0,0,0,1.13,0,0,28.88,0,0,4.2,30.46,0,2.09,3.59,0,0,0.99,0,0,0,0,3.77,0,2.67,0,0
 60-70,0,0,0,0,0,14.32,0,0,56.94,0,0,0,0,1.15,0,0,43.79,0,0.93,6.52,36.24,0,5.15,3.15,0,0.71,1.75,0,0,0,0,2.13,0,0,0.73,0
 72-82,0,0,0,0,0,1.51,0,0.68,61.64,0.51,0,0.6,0,1.85,0,0,52.79,0,0,7.3,30.74,0,7.14,20.75,0,0,1.6,0,0,0,0,11.09,0,4.78,0,2.54
 84-94,0,0,0,0.58,0,6.43,0,1.2,47.49,0,0,0,0,2.72,0,0,52.81,9.3,3.22,0.57,25.54,0,0,9.46,0,1.53,5.25,0,0,0,0,15.47,0,7.31,0,0
 96-106,0,0,0,0,0,17.01,0,0,34.07,0,0,0.89,0,0.6,10.96,0,33.8,0,0,0,32,0,0.57,7.3,0,2.64,3.35,0,0,0,0,4.77,0,6.73,1.85,0
108-118,0,0,0,0.47,2.45,9.09,0,0,77.26,0,0,0,0,2.77,0,0,29.75,0,0,1.66,25.43,0,0,20.38,0,6.01,2.49,0,0,0,0,0,1.21,1.31,0.68,6.57
120,0,0,0,1.18,0,10.88,3.08,2.41,54.16,0,0,5.19,0,0,0,0,44.59,0,0,3.45,56.13,3.31,14.18,33.65,0,0,0,0,0,0,0,0,16.48,31.79,0,1.1
