stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,107.36,1108.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.85,0,0,0,0,0,0,0,0,0,0
  5-6,103.89,1560.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.52,13.1,0,0,6.56,0,23.01,0,0,0,0,0,0,0,0,0,0
  7-9,47.03,74.57,0,72.54,0,0,0,203.41,0,0,0,0,0,92.72,0,0,0,0,0,0,0,0,0,0,0,1574.05,68.22,0,0,542.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,85.64,0,77.92,0,21.67,0,202.04,0,0,0,0,0,44.6,0,0,0,0,0,0,0,0,0,0,0,1791.02,71.55,0,0,595.83,0,0,0,100.64,0,3.11,5.09,0,0,0,0,0
 14-21,0,0,0.82,6.25,43.6,19.23,0,18.25,0,0,0,21.82,2.69,0,0,0,0.96,0,0,0,0,16.9,0,0,22.37,258.28,7.31,4.64,0.87,17.84,0,1.43,19.32,8.08,5.25,19,79.4,0,0,0,0,5.96
 24-34,0,0,1.56,3.87,26.52,1.28,0,58.07,0,0,0.83,5.12,0.85,0,0,0.61,3.82,0,0.81,0.77,0,77.88,0,0,22.29,572.21,2.3,8.43,14.55,0,1.61,3.39,0,3.26,2.48,6.49,160.64,0,0,9.9,0,6.82
 36-46,0,0,0,0,12.39,0.89,0,121.04,0,3.44,1.66,20.06,0.56,0,3.11,0.98,0,1.21,0.62,0,0,73.17,0,0.67,17.53,629.91,1.88,10.53,2.08,0,0,0,0,3.74,0,0,175.75,0,0,14.44,0,3.89
 48-58,0,0,0.46,0,26.09,0,0,113.58,0,0,5.73,20.6,0,0,0,0,9.08,0,0,0,0.78,86.34,0,1.42,11.56,378.74,0,2.52,2.39,0,0,0,0,0.61,0,0,78.45,0,0,7.4,0,0.4
 60-70,0,0,0,0,4.03,1.82,0,139.01,0,0.89,0.86,40.76,2.57,0,0,1.47,0,0,0,4.22,0,103.12,0,5.67,10.99,316.38,7.15,6.62,0.57,0,0.84,0,0,0,0,0,61.3,0.61,1.29,8.73,0,0
 72-82,0,0,0.61,0,8.3,9.97,0,79.98,0,0,1.64,19.87,0.56,0,1.12,0.69,0.53,0,2.05,0,0,83.67,0.71,4.76,8.52,218.43,0,0,3.35,0,0,0,0,0,0,0,32.54,0,0,10.9,4.02,3.96
 84-94,0,0,0,0,8.72,16.09,0,58.33,0.56,0,0.59,18.88,1.21,0,0,1.18,0.68,0,0,0,0,79.08,0,0,8.95,194.93,0.69,4.96,8.71,0,0,0.71,0,0.66,0,0,18.38,5.08,8.21,9.7,1.36,0.77
 96-106,0,0,0,0,18.04,33.65,0,75.36,0,1.29,4.98,58.87,1,0,0,2.96,0.81,0.72,0.82,0,0.65,57.35,0,1.33,13.25,131.08,0.68,2.09,3.45,0,0,2.8,0,0,0,0,22.14,2.04,0,6.31,1.58,0
108-118,0,0,0.91,0,12.69,2.66,0.61,44.52,0.5,1.68,0.68,36.06,2.05,0,0,0.53,0.89,2.12,0.66,2.64,0.58,73.6,0,3.79,10.1,114.36,0.96,2.4,6.66,0,0,3.62,0,1.03,0,0,6.12,0.83,0,9.04,1.76,0
120,0,0,0,0,26.18,7.41,0,54.2,7.8,5.86,5.06,11.93,6.71,0,6.41,8.75,0,0,0,0,0,77.61,0,0,13.28,189.34,1.37,1.29,11.54,0,0,0,0,0,0,0,0,0,0,11.18,0,0
