stage,blastomeres,endoderm,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,mesenchyme,neural,paraxial.mesoderm,pericytes,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.12,7.63,0,0,0,0,0,0,0,23.35,7.58,0,0,0,0
 10-12,0,4.05,33.44,0,0,0,0,0,0,18.95,11.53,0,0,0,0
 14-21,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.69,0,0,1.09,0,0,5.42,0,0,0,0,0
 36-46,0,0,0,1.03,0,0,0,0,0.64,4.32,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.6,0,8.97,0,0,0,0.83,0
 72-82,0,0,0,0,0,0,0,0,1.96,14.15,0,0,0,0,0
 84-94,0,0,0,0,1.33,0.71,0,0,0.61,7.39,0,0,0,0,0.98
 96-106,0,0,0,1.15,0,0,0,0,3.59,5.4,0,0,2.27,0,1.13
108-118,0,0,0,0,0,0,0,0,3.12,2.19,0,2.92,0,0,0
120,0,0,0,0,0,0,0,0,4.92,8.67,0,0,0,0,0
