stage,axial,blastomeres,eye,neural,paraxial_mesoderm
  3-4,0,12.5,0,0,0
  5-6,6.1,32.18,0,0,0
  7-9,0,0,4.02,23.12,11.95
 10-12,0,0,0,14.66,0
 24-34,0,0,0,0.84,0
