stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,10.97,0,0,0,0,0
 14-21,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,0.9,0,0,0
 24-34,1.67,0,0,0,0,0,0.6,0,0,0,0,0,3.92,0,0,41.34,0,0,0,0
 36-46,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.64,0,0,0,0
 48-58,10.71,0,0.44,0,0,0,0,0,0,0.63,0.57,0.67,1.85,0,0,17.47,0,0,0.54,0
 60-70,5.38,0,0.68,0,0,0,0,1.74,0,0,0,0,2.59,3.17,0,13.03,0,0,0,0
 72-82,15.9,0,3.34,0,0,0,0,0,0,0,0,0,4.78,0,0,16.27,0,0,0,0
 84-94,8.02,0,0.56,0,0,0,0,1.77,0,0.76,0,0,0,0,0,52.63,0,0,0,0
 96-106,5.75,0,4.51,0,4.34,0,0,0,1.22,6.33,0,0,3.27,0,0,46.67,0,0,0,0.66
108-118,15.32,0,2.26,0.73,0,0.51,0,1.3,0,4.24,0,0,0.95,0,0,49.22,0,0,1.03,0
120,48.79,19.8,6.64,0,0,0,0,0,0,1.8,2.9,0,0,0,0,54.35,0,4.58,0,0
