stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.74,0,0,0,3.1,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.89,2.17,0,0,7.49,0,0,1.18,374.16,0,0.86,2.89,0,0,0,0
 24-34,0,5.62,1.05,2.02,0,0,0,0,81.28,0,0,0,0.6,0,13.34,0,0,5.98,0,0,0,23.67,0,76.83,9.72,261.62,15.98,0,2.69,0,0,0,0
 36-46,0,37.21,0,3.46,0,0,0,0,17.76,0,0,0,0,0,52.11,0,0,0,0.84,0,0.58,27.07,13.39,67.64,0,181.86,11.29,0,5.13,0,0,0,0
 48-58,0,189.05,0,12.92,0,0.37,0,1.25,17.39,33.76,0,0,2.01,0,112.78,6.95,6.68,7.13,0,0,0,36.69,0,11.46,9.19,211.49,2.5,0,7.17,0,0,0,9.42
 60-70,0,236.57,0,38.92,0,0,4.87,3.32,7.02,15.59,0.79,0,0.65,0.93,238.74,0,0,5.08,1.53,0,0,77.19,0,11.06,5.92,230.23,20.38,0,8.5,13.54,0,0,12.61
 72-82,0,73.64,0.5,26.36,0,0,0,0,25.19,12.8,0.98,0,2.09,0,278.86,0,0,10.37,0.79,1.23,0,43.24,0,0.97,4.67,50.05,0,0,3.94,0,0,3.49,11.98
 84-94,0,96.58,8.92,8.01,0,0,0.91,1.85,108.97,4.21,4.24,2.43,15.01,0.68,641.16,1.15,0,8.98,0,0,0,49.4,0.57,40.1,2.38,66.01,35.66,0,0,3.57,0.68,0.74,0
 96-106,0,70.05,8.45,34.82,1.98,3.73,3.37,16.03,228.08,0,0,0,78.82,0,796.43,0,0,32.5,0,0,0.81,62.88,0,11.01,0,50.37,12.28,0,0,0,0,3.71,0
108-118,0,13.23,1.73,39.16,0,8.23,0,4.92,300.64,0,0,0,8.07,0,548.89,0.41,0,17.29,0,1.05,1.39,43.18,0,8.12,0,125.1,48.69,0,3.63,0,0,2,0
120,0,9.67,0,12.42,0,1.62,0,0,153.64,0,0,0,0,0,214.55,1.29,0,4.61,0,0,0,32.53,4.62,0,0,49.37,13.46,0,2.02,0,0,0,0
