stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.56,210.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.05,0,0,0,0,0,0,0,0,0
  5-6,11.27,29.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,0,0,0,0,0,0,0
 24-34,0,0,0,3.06,5.66,0,0,1.46,0,0,0,0,1.35,0,0,0,0,0,5.79,1.71,0,0,0,18,0,0.72,0,0,0,0,0,52.96,0,1.95,0,0,0,0,5.95
 36-46,0,0,0,3.34,29.46,0,0,0,0,0.88,0,0,5.11,0,0,0,0,0,9.02,16.19,0,0,1.13,19.4,0,3.93,0,0,0,0,0,37.08,0,14,0,0,3.88,0,0
 48-58,0,0,0,5.15,154.76,0,0,10.46,0,1.39,0,4.39,17.89,9.19,3.79,0,0,0.44,7.92,137.42,0.86,0,1.81,75.19,0,2.76,1.38,0,0,0,0,43.3,0,14.9,0,0,4.83,0,0
 60-70,0,0,0,0,383.54,2.11,0,29.28,0,1.2,0,1.21,43.39,12.64,0,0,0,0,30.83,454.52,0.57,0,23.4,127.79,0,1.78,2.31,0,0,0.69,0,71.71,0,22.03,3.07,1.96,2.49,0,0
 72-82,0,0,0,4.48,892,5.18,0,125.38,0.54,12.8,3.8,23.23,46,33.11,0.94,2.33,6.32,0.53,5.43,2021.31,12.34,18.35,66.45,280.59,0,8.49,8.98,0,0,1.51,0,67.14,0,1.43,0,8.72,60.07,11.62,5.96
 84-94,0,0,0,24.92,1869.33,6.48,0,75.01,0,54.43,1.43,9,85.85,38.18,4.95,11.7,3.28,1.48,4.87,1371.68,7.57,0,31.36,115.46,0,6.27,1.56,0,0,2.67,0,120.51,0.68,4.08,1.55,7.25,45.66,3.2,0
 96-106,0,0,0.95,14.33,2937.21,16.89,2.1,212.62,2.41,206.92,1.02,31.99,21.26,97.68,4.27,39.84,1.04,2.24,0,1648.27,29.16,6.77,167.38,306.36,3.56,10.41,0,0,1.03,29.24,3.39,91.72,0,1.39,0,0.78,61.57,0.83,7.73
108-118,0,0,0,7.64,4278.54,6.53,3.25,94.31,0,289.26,1.75,23.11,22.59,51.03,2.46,19.82,3.78,3.87,0,1880.09,20.03,9.61,132.02,227.79,0,8.21,4.47,0,19.61,11.72,0,112.47,0.44,4.6,1.84,12.41,82.99,0,2.96
120,0,0,0,4.41,2186.34,0,0,40.16,0,168.76,0,17.09,7.11,85.23,0,9.5,0,1.84,0,1215.39,11.69,1.83,159.56,146.09,0,1.48,0,0,0,21.23,0,46.61,0,0,20.44,34.17,111.28,0,0
