stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,11.81,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,9.13,0,0,0,2.81,0.86,0.81,0,1.82,3.1,0,0,0,0,0
 24-34,0,14.86,0.96,0,2.15,0,1.38,0,0,0,1.21,2.01,0.75,0,1.19,1.94,0,0,1.68,39.55,1,1.54,0,5.01,0,0,1.55,0,17.82,0,0,2.11,0,0
 36-46,0,0.56,0,0,3.22,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,109.52,0,0,1,21.91,0,0,0,0,17.76,0,0,1.92,0,0
 48-58,0,9.08,0.67,0,32.06,0,3.49,0,3.22,0.77,0,0,0,0,0,0.66,0,0,0,122.69,0,1.33,0,6.36,0,0,0,0,13.87,0,0,0,0,0
 60-70,0,11.86,0,0,26.16,0,3.54,0,2.07,0,0,1.79,2.04,0,0,3.01,0,5.31,5.78,238.36,0,0,0,7.8,0,0,0,0,30.59,0,1,0,0,0
 72-82,0,12.93,2.18,0,26.76,7.66,0,0,5.3,1.1,0.6,0.61,0.79,0,0,9.73,2.32,0,0.69,221.46,0,5.21,1.25,2.9,0,0,0,0,26.22,0,0,2.19,1.09,0
 84-94,0,9.84,11.02,0,29.49,0,0,1.18,4.59,0.68,0,0.6,1.39,0,0,12.57,1.62,0,0,86.62,0,0.8,0,9.23,0,0,0,0,0,0,0,0,0,0
 96-106,0,3.33,7.59,0,4.83,0,0.66,0,0,2.87,0,1.24,0.75,0,0,2.56,4.41,0,1.26,41.31,0,0,0,7.07,0,0,0,0,2.89,0.69,0,0,2.48,0
108-118,0.74,0.51,5.45,6.59,25.97,0,0,0,5.53,1.54,0.62,1.34,0,0.76,0,8.38,5.42,2.75,0,87.69,0,3.99,1.33,6.73,0,0,0,0,5.45,0.47,0,4.19,0,3.31
120,0,0,0,0,16.34,0,0,2.41,0,0,0,0,0,0,0,9.24,0,0,0,80.11,0,0,0,2.29,0,0,0,0,23.56,0,0,0,0,0
