stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,22.06,0,0,0,8.45,0,32.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,9.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,9.49,0,0,15.16,0,0,1.99,0,0,1724.69,5.35,0,1.23,1.48,3.6,0,0,0,0,0
 24-34,0,0,0,4.41,0,0,43.8,0,1.23,0.79,2.81,0,0.82,0,0,0.65,0,0,11.3,0,15,19.15,0,4.77,160.54,0,1.18,0,0,0,2286.36,0,0,0.75,0.63,19.82,0,0,12.46,0,0
 36-46,0,0,0,15.5,0,0,6.63,4.94,39.27,0.65,6.19,2.26,0,0,0,3.54,0,0,0,0,15.13,63.61,0,2,89.24,0.85,1.35,1.41,0,0,3044.7,0,0,0.7,0,10.01,0,0,1.03,0,2.02
 48-58,0,0,0.43,53.08,0,0,37.19,0.41,73.02,0,6.73,0.88,0,0,2.39,4.72,0,0,0,0.87,16.53,23.57,1.09,0.85,159.04,0,0,1.28,0,0,2984.16,0,0,0,0,33.56,0,0,1.26,0,4.58
 60-70,0,0,0,173.67,0.57,0,88.93,1.33,122.57,0,21.53,0,6.85,0,0,21.75,6.02,4.35,0,6.35,31.96,28.39,1.89,1.17,106.52,0,0.88,1.03,0,0,4398.12,0,0,2.19,0,18.3,0,0.71,0,0,7.44
 72-82,0,0.93,0,616.69,4.42,2.97,115.06,0.64,118.39,1.25,18.31,9.31,0,0,6.72,103.7,6.71,3.42,5.36,3.71,38.72,68.74,1.11,4.93,220.38,3.18,0,4.48,0,0,7564.17,0,0,0,0,31.04,19.46,4.1,6.6,0.77,9.61
 84-94,0,0,0,1681.09,13.63,0,95.32,10.23,510.63,1.57,20.59,13.61,0,5.78,18.94,481.05,0.69,0,5.39,1.86,57.86,117.34,2.68,3.99,197.21,3.65,1.42,4.06,0,0,17633.97,0,0.56,1.24,0,6.62,18.33,0,1.85,3.29,11.59
 96-106,0,0.95,0,3736.29,154.08,14.75,470.79,7.84,1211.91,17.72,192.89,64.66,0,3.13,28.29,988.09,13.66,38.38,136.35,1.3,210.51,431.42,12.26,34.96,1113.76,4.18,20.5,6.4,0,1.47,36537.59,0,2.24,5.5,0,43.9,58.99,4.48,42.39,18.26,71.07
108-118,0,2.95,0,3377.46,42.53,7.52,276.13,7.77,1907.68,6.61,69.59,44.05,0,1.45,9.61,1274.1,7.89,8.68,37.43,6.8,219.7,585.3,5.43,15.9,703.61,1.78,3.83,11.1,0,2.56,28881.74,0,8.92,1.05,0,18.89,48.86,5.12,26.19,10.78,25.33
120,0,0,1.28,2114.1,46.38,6.79,272.71,3.72,1099.78,0,93.15,12.82,0,1.61,13.56,550.58,3.65,2.98,9.89,0,151.52,371.25,18.49,7.51,632.85,14.79,0,4.84,0,5.52,18348.07,0,6.97,0,0,28.77,21.68,1.54,14.24,17.02,6.78
