stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0
 10-12,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0
 14-21,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,4.79
 24-34,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,8.36,0,0.93,0,0
 36-46,9.08,0,0,1.41,0,0,0,0,0,0,0,0,0,3.65,0,0,0,63.58,0,0,0,1.67
 48-58,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0.5,0.82,0,104.57,0,4.46,0,2.88
 60-70,2.3,0,0,9.03,1.02,0,0.98,0.99,4,3.19,0,0,0.87,0,2.05,0,0.68,134.69,6.69,0,1.65,4.32
 72-82,1.89,0.89,1.16,3.08,0,0,1.21,0,0,0,0,2.34,0,0,0.63,0,0,149.23,0,0,0,1.7
 84-94,0,0,1.39,0.91,0,0,0,0,0,0,0,2.48,0,0,2.83,0,0,48.49,0,0,0,0
 96-106,0.71,0,0,0.69,0,0,0,0,0,0,0,3.83,0,0,3.74,0,1.84,53.72,0,0,0,0
108-118,0,0,0,0.55,0.67,0.95,0.94,0,0,0,2.05,2.22,0,0,0.99,0,0,92.49,0,0,0,2.36
120,1.34,0,0,0,0,0,0,0,0,0,0,2.85,0,0,7.76,0,0,129.91,0,0,0,0
