stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,172.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0,0
  5-6,122.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.71,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,178.44,4.71,0,0,54.02,0,15.21,0,0,0,0,0,0,0,0,0
 10-12,10.34,0,12.44,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.2,0,0,0,72.53,0,0,0,8.87,0,0,0,0,0,0,0
 14-21,0,0,0,1.85,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,11.2,1.54,0,4.58,1.18,0,0,3.47,0,1.08,35.81,4.54,0,2.01,0,0
 24-34,0,0,0,0,0,9.4,0,0,0,2.29,0.73,0,0.79,0,0,0,1.08,0,6.65,0,0,3.03,115.05,0.77,1.89,0.73,0,0,3.18,0,1.26,0,2.8,33.69,0,10.18,0,0
 36-46,0,0,0,7.43,0,9.2,0,0.58,0.57,5.93,0,0,0,0,0,0,0,0,10.83,0,1.12,2.06,180.79,0,1.21,0.57,0,0,5.01,0,0,0,0,31.2,0,2.1,0,0
 48-58,0,0,0,0,0,24.32,0,0,0,2.73,0,0,0,0,0,0.39,0,2.07,17.7,0,0,5.63,187.56,4.26,4.4,0,0,0,4.75,0,0,0,0,23.15,0,5.46,0,0.63
 60-70,0,0,0,3.27,0,34.32,0,0,0.85,32.42,0,0,0.59,0,0,0,0,0,42.59,0,1.32,2.42,274.03,1.36,4.28,0,0,0,1.38,0,0,0,0,15.71,0,2.12,0,0
 72-82,0,0,0,0,1.11,94.18,0,0,0,8.75,2.16,0,0.51,0,1.38,0,3.2,0.96,52.32,0,9.89,0,287.18,0,4.07,1.4,0,0,3.17,0,0,0,0,30.24,0,1.84,1.28,0
 84-94,0,0,0,1.77,0.57,24.78,0.56,2.42,0,6.8,0,0,0,0,0,0,2.5,0,29.35,0,1.38,1.13,82.14,0,4.41,0.57,0,0,2.3,0,0.7,0,0,16.46,1.05,2.27,0,0
 96-106,0,0,0,0,0,26.8,0,0,0,2.02,1.81,0,0,0,0,0,0,0,27.66,0,0,1.84,78.57,0,5.63,0,0,2.93,6.14,0,0,0,0,21.27,0,0.69,0.85,0
108-118,0,0.79,0,4.63,0,26.34,0,0,0,10.82,0.62,0,0,0,1.43,0,2.62,0,36.49,0.42,2.12,0,101.27,0,2.05,0.78,0,2.73,2.57,0,0.43,0,0,6.67,0,1.1,0,0
120,0,1.22,0,1.69,2.26,59.88,0,1.06,1.58,42.98,0,0,0,8.17,4.5,0,4.13,1.67,45.19,0,0,0,447.19,0,10.74,9.28,0,0,6.81,0,0,0,0,23.97,0,12.8,6.41,0
