stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,87.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.79,98.34,0,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.53,0,0,108.44,0,0,0,6.58,0,0,0,0,0,332.67,0,0,0,0,0,0,0,0,0,0,0,266.13,28.61,0,0,35.04,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,36.78,0,153.65,0,43.76,0,21.05,0,0,0,0,0,45.81,0,0,0,0,0,63.34,0,0,0,0,0,547.67,42.36,0,0,263.06,0,0,10.01,22.71,0,0,0,0,0,0,0
 14-21,0,0,0,11.15,180.07,51.35,0,16.4,0,0.95,0,4.9,4.69,0,2.26,0,1.3,0,0,504.65,0,43,0.83,0,11.31,182.97,5.16,1.68,5.68,7.5,0,0,16.78,1.45,5.36,59.7,0,0,15.94,0,0.92
 24-34,0.88,0,3.06,1.35,74.29,3.07,0,45.24,0,6.24,3.86,15.84,1.16,1.15,16.48,2.2,1.01,1.61,0,661.99,1.94,95.04,0,0.89,29.62,378.64,4.74,0.76,10.88,0,1.14,3.37,2.33,1.69,1.23,94.63,0,0,200.92,0,13.47
 36-46,0,0,0,0,20.55,6.02,0,41.77,0,1.51,27.47,27.97,4.3,0,4.87,0,0,0,2.29,180.41,0,103.47,0,0.96,24.53,164.61,1.22,0,3.1,0,0,0.59,0,0,0,64.29,0,0,189.67,0,110.43
 48-58,0,0,0,0,11.17,13.59,0,59.4,0.58,0,27.6,49.13,1.06,0,5.62,0,0,14.05,0.5,66.32,0,131.08,0,2.63,26.76,114.75,1.14,0,4.8,0,0,5.08,0,0,0,40.14,0,1.26,274.99,0,314.89
 60-70,2.52,0,0.7,5.18,20.95,0,0,64.93,0.93,4.56,38.74,88.9,0.65,0,4.42,9.39,0.62,0,0.7,17.83,0,184.82,0,15.43,13.01,77.43,0.75,1.22,1.18,0,0,0,0,0,0,11.57,0,6.98,417.3,0,395.83
 72-82,0,0,0,0,7.99,1.34,0,56.54,0,4.33,26.84,81.08,3.22,0,16.02,1.78,1.53,6.63,2.67,3.73,0,189.26,2.61,16.02,14.16,34.15,0,0.49,3.49,0,0.71,4.87,0,1.81,0,1.83,0,8.4,632.48,6.09,275.77
 84-94,0,0,4.37,0,28.68,5.47,0,69.19,0,11.88,16.57,98.13,2.26,0,3.73,4.16,1.94,0.76,1.39,11.91,0,222.28,0,14.58,5.73,63.93,0,0,2.49,0,0,0.6,0,0,0,22.7,0.86,12,574.14,12.61,162.53
 96-106,0,0,0.87,0,10.71,14.21,0,50.48,0,3.85,8.95,79.7,1.12,0,15.17,2.19,1.12,0,0,2.16,0,109.51,0.76,1.38,6.92,30.88,1.94,0,2.26,0,0,10.61,0,3.52,0,8.54,0,0.77,870.96,5.43,186.95
108-118,0,0,0.91,0,22.04,0,2.29,70,0,7.88,9.3,62.03,6.17,0,14.02,6.19,1.15,3.64,0,1.27,0,144.09,1.92,12.48,6.42,48.79,1.58,3.73,3.51,0,2.46,0,0,1.76,0,11.96,0.41,2.27,720.65,6.56,198.55
120,0,0,3.64,0,36.75,16.99,0,64.71,18.62,10.77,75.1,96.75,4.29,0,5.02,8.06,4.06,9.9,0,0,0,220.72,0,2.08,6.72,118.38,7.51,0,5.97,0,2.67,7.88,0,0,0,13.95,0,4.4,1258.96,19.21,145.59
