stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,vasculature,xanthophores
 14-21,1.09,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0
 36-46,0,0,0,1.87,0,0,0.89,0,0,0,0,0,2.98,0,0,0,0
 48-58,2.9,0,0,0,0,0,0,0,0.39,0,0,0,5.32,0,0,0.53,9.66
 60-70,0,0,0,0,0,0,0,0,1.2,0,0,0,6.1,0,0,0,0
 72-82,0,0,0,3.39,0,1.45,0,0.67,9.8,0,0.87,0,5.99,0,1.35,4.28,2.83
 84-94,0,0,0,3.85,1,3.51,0,0,18.98,0,0.72,1.09,0,0,0,0,0.64
 96-106,0,0,1.52,9.5,2.86,1.37,1.39,0,20.94,0,0,3.97,2.65,0,0,0,0
108-118,0,0,9.17,18.4,0,4.44,0,0.49,72.28,1.13,3.79,0,11.2,0.51,0,2.08,0
120,0,0,0,0,9.19,7.65,0,0,28.87,0,4.71,0,19.58,0,0,0,13.79
