stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,371.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0
  5-6,32.1,296.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.84,0,17.67,0,0,0,65.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.88,32.63,0,0,118.26,0,0,4.77,0,0,0,0,0,0,0,0
 10-12,0,4.57,18.97,0,0,0,30.75,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,0,0,270.98,4.36,0,0,92.51,0,0,0,0,33.82,5.74,0,0,0,0,0
 14-21,0,0,1.9,13.26,6.7,0,11.8,0,0,0,1.75,0,1.39,0,0,0,0,0,0,0,10.72,0,0,7.67,83.69,0,1,1.27,0,0,6.79,0.91,7.09,0.87,40.09,27.15,0,0.92,0,0
 24-34,0,0,0.71,15.95,0.62,0,22.94,0,0.8,0,3.95,0,0,0,0.67,0.81,0,0.6,0.67,0.69,21.14,0,0,12.19,207.56,0.62,3.19,2.77,0,0,3.24,0,0,0.78,7.18,47.77,0,14.06,0,0
 36-46,0,0,0,25.73,0,0,39.91,0,0,0,8.85,0.72,0,1.06,0.56,0,0,0,0,0,26.2,0,0,8.86,246.31,0,2.23,2.05,0,0,14.02,0,0,0,0,44.32,0,8.05,0,14.11
 48-58,0,0,0,13.83,0,0,82.54,1.27,5.02,1.28,18.46,0,0,0,0,0.48,0.4,0,2.1,2.09,15.84,0.41,0.54,4.25,190.71,0,2.78,0.62,0,0.56,5.35,0,0,0,0,43.9,0,16.6,0,0
 60-70,0,0,0,22.74,0,0,117.67,0,5.6,0.8,37.13,0,0,0,8.11,0,0,0,0,0,44.03,3.18,0.63,9.02,224.29,0,3.97,2.13,0,0,4.66,0,0,0,0,39.55,0,0.68,0,0
 72-82,0,0,0,12.95,8.45,0,108.55,0,6.16,1.44,36.49,1.3,0,0,0.72,0,0,0.79,0,0,35.37,0,0.94,1.45,241.11,0,0.54,0.79,0,0,4.13,0,0,0,0,15.37,0.53,22.22,0,12.77
 84-94,0,0,0,33.43,11.44,0.6,66.02,0.79,0,1.38,14.19,0,0,0,1.73,2.03,0,0,0,0,16.85,3.24,4.09,1.38,174.01,0,1.17,4.12,0,0,16.32,0,0,0,0,9.95,1.53,9.1,2,1.5
 96-106,0,0,0,13.19,5.08,0,55.43,1.45,0.66,0,16.17,1.91,0,1.16,3.78,0,0,0,0,0,26.34,0,1.06,4.06,127.82,0,0.56,2.29,1.2,0.79,7.76,0,0,0,0,9.55,0,11.03,0,9.32
108-118,0,0,0,30.77,3.48,5.58,99.32,0,4.05,1.28,27.41,3.96,0,0,4.67,2.39,0,0.56,0,0,22.25,0.75,0.76,3.26,125.08,0.69,2.78,1.74,0,3.53,14.48,0,0,0,0,12.88,1.81,13.93,0,1.09
120,0,0,0,11.89,0,1.78,69.73,0,4.65,0,76.86,12.4,0,0,0,0,6.89,6.85,0,0,29.21,1.49,7.65,0,292.52,0,11.8,3.67,0,0,1.28,0,0,0,0,0,0,1.82,0,0
