stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,47.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.87,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.21,15.79,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,35.31,0,0,0,3.54,0,0,0,0,0,0,0,0
 36-46,0,0,0.72,0,0,0,0,0,0,2.94,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.6,0,0,0,2.77,0,16.29,0.39,0,0,3.31,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.05,0,0,0,0,0,0,0,13.64,0,0,0,1.75,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.06,0,0,0,0,0,16.8,4.09,0,0,4.67,0,1.16,0,0,0.86,0,0,8.76
 84-94,0,4.44,0,0,0,0,0,0,1.16,0,0,54.73,0,0,0,0.86,0,4.08,0,0,0,0,0,0
 96-106,0,0,0,2.45,10.23,8.22,0,0,0,0.57,1.47,172.89,5.92,0,0,21.85,0,5.53,3.82,0,0,0,0,0
108-118,0,0,0.41,0,0,7.82,0.52,0,4.47,0.47,0,255.46,6.39,3.32,0,15.95,0,3.82,0,0.66,0,1.7,1.41,0
120,0,0,0,0,0,0,0,1.44,0,0,0,96.58,0,0,1.65,28.9,0,0,0,0,0,0,3.36,0
