stage,axial,blastomeres,epidermis,eye,glial,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
  3-4,0,25.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,47.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.34,0,0,68.98,0,0,0,0,0,0,228.44,0,9.08,0,0,0,0,0
 10-12,0,37.54,0,64.28,0,0,0,0,0,0,148.41,0,12.71,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,0.81,1.25,5.05,0
 24-34,0,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0,6.94,0
 36-46,0,0,0,0,0,0,0,0,0,0,12.93,1.25,0,0,0,0,0.63,0
 48-58,0,0,0,2.11,0,0,0,0.5,0,0,17.61,0,0,0,0,0,1.87,0
 60-70,0,0,0,9.95,0,0,1.41,0.66,0.73,0,28.2,0,0,0,0,0,0.65,0
 72-82,0,0,0,12.46,0,0,0,3.94,0,0,47.56,0,0,0,0,0,0,0
 84-94,0,0,0,9.27,0,0,0,0,0,0,33.33,2.69,0,0,0,0,2.91,0
 96-106,0,0,0,11.27,1.36,0,0,0,0,5.94,26.92,4.46,0,1.52,0,0,1.81,7.15
108-118,0,0,0,4.93,0,0.5,0,0,0,0,21.5,0,0,0,0,0,0,0
120,0,0,1.69,30.59,2.06,3.81,0,0,0,0,29.38,0,0,0,0,0,0,0
