stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,heart,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,20.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.04,0,0,0,0,0,0,0,0,0,0,12.77,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,61.94,15.06,0,4.16,0,0,0,0
 14-21,0,0.85,30.47,0.97,0,0,0,0,0,0,0,0.91,1.58,2.35,0,0,0,0,1.62,0.93
 24-34,0,0,11.04,0,1.4,0,0,0,0.65,0,0,1.01,0,0,1.16,0,0,9.56,0,0
 36-46,0,0,1.46,0,1.75,0.93,0,0,0,0,0,0,0,0,0.8,0,2.94,6.85,0,0
 48-58,0,0,0,0.91,0,0,0.39,0,0,1.78,1.29,0,0,0,8.31,0,0,3.62,0,0.85
 60-70,0,0,6.11,2.88,0.74,0,0,0,0,2.8,3.41,1.46,0,0,6.68,0,0,1.15,0,0
 72-82,0,0,0,0,0,0,0,0.6,0,0,6.37,0,8,0,12.67,0,0,0.86,0,0
 84-94,0,0,1.32,0,1.22,1.69,0,0.73,0,2.43,2.02,0,20.25,0,30.08,0,0,3.85,0,0
 96-106,0,0,0,2.27,0,0,0,2.65,0,9.41,11.01,0,3.02,0,20.31,0,0,1.36,0,0
108-118,0,0,3.78,5.09,2.16,0,0,0,0.75,1.17,2.12,0,5.52,0,29.41,0,2.64,5.07,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.75,0,0,1.87,0,0
