stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,32.99,419.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0
  5-6,0,125.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0
  7-9,0,0,12.49,0,0,13,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,160.55,0,0,62.43,0,0,0,0,0,0,0,0
 10-12,0,6.62,31.38,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.16,0,0,76.71,0,0,0,0,9.29,0,0,0
 14-21,0,0,1.71,0.93,0,2.02,4.7,0,0,0,0,0.96,0,0,0,0,6.18,0,0,1.87,81.34,2.46,0,0,0,5.83,0,1.99,24.79,0,0,0
 24-34,0,0,0,3.13,0,14.34,1.35,0,0,0,0,0.68,0,0,0,0,6.36,0,0,3.98,96.81,0.76,0,0,4.57,0,0,0,32.29,0,1.37,0
 36-46,0,0,0,4.05,0,57.81,3.36,0,0,0,0,0,0,0,0.93,0,1.3,0,0,2.88,93.69,1.89,0.9,0,1.5,0,0,0,16.93,0,2.35,0
 48-58,0,0,0,0,0,37.46,2.05,0,0,0,0.54,0,0,0,0.37,0.56,4.27,1.67,1.49,1.64,44.85,0.43,0,0,2.92,0,0,0,4.83,0,0,0.38
 60-70,0,0,0,7.99,0,49.84,5.33,0,0,0.66,0,0,0,1.39,0,0,2.17,0,0,0.98,16.86,0,0,0,0.6,0,0,0,1.77,0,0,0
 72-82,0,0,0,5.4,0,10.03,1.91,0,0,0,0,0,0,0,0,0,3.15,0,0,0.5,13.17,0,0.69,0,1.71,0,1.5,0,7.1,0,0.64,0
 84-94,0,0,0,0.56,0,9.37,0,0.89,0,0,0,0,0.7,0,0.96,0,1.59,0,0,0,15.08,0.7,0,0,0.65,0,0,0,0,0,2.87,0.7
 96-106,0,0,0,3.57,0,10.92,2.17,1.06,0,0,0.81,0,0,0,0,0,1.87,0,0,0,11.39,0,0,0,2.38,0,0,0,0,0,0,0
108-118,0,0,0,4.74,0.42,10.91,0,0.94,0,0,0,1.27,0,0,0,0,1.57,0,0,2.13,22.47,0.77,0,0,0.86,0,0,0,0,0,0,0
120,0,0,0,0,0,5.13,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,11.31,0,0,0,0,0,0,0,0,1.99,0,0
