stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,34.29,2.85,5.92,4.03,0,0,1.67,0,0.91,0,0,0,1.68,5.93,0,0,4.82,32.09,26.75,0,0,1.93,0,14.15,2.56,9.59,2.23,9.15,2.64,9.46,0,0,5.3,0,0
 24-34,91.42,0,3.86,17.07,0.8,5.07,0,1.02,0,0,0,0,2.96,27.22,2.1,0,28.44,78.83,2.91,0,0,0,0,42.34,0,0,0,4.29,0,25.66,0,0,6.21,0,0
 36-46,81.24,0,7.16,22.81,2.66,14.38,0,4.28,0,0,0,0,0,38.18,9.68,0,9.04,86.7,0.84,1.1,0,0,0,132.01,0,0,2.02,0,0,42.9,0,0,18.62,0,0
 48-58,39.32,0,11.65,16.16,13,7.98,0,4.17,4.71,0,0.88,0,0.47,88.82,3.4,0,17.53,90.04,0,1.57,0.4,0,0,95.32,0,0,0,0,0,24.66,0,0,9.46,0,2.39
 60-70,27.76,1.7,15.59,23.87,13.3,4.18,0,6.11,0,0,0,0,0,196.84,0,1.05,9.41,45.38,0,1.72,0.72,0,0,50.72,0,0,0,0,0,8.17,0,1.78,2.79,0,0
 72-82,19.39,8.1,27.61,8.54,50.35,6.36,0,25.76,0,10.77,0,0.96,0,513.16,2.18,6.44,16.84,37.79,0,0,0,0,0,24.19,0,0,2.24,0,0,8.3,2.98,2.17,22.83,4.67,0
 84-94,35.93,2.21,27.23,24.59,27.9,5.85,1.03,8.88,0,0.61,0,0,0,342.38,0.71,2.96,7.83,10.8,0,0,3.15,0,0,29.6,0,0,0.73,0,0,0,0,5.15,9.79,1.83,0
 96-106,15.51,8.02,10.91,13.65,14.67,5.79,0,11.58,0,8.25,0,7.7,0.68,482.73,0,7.13,8.74,25.88,0,0,6.72,0,1.03,9.17,0,0,0,0,0,7.65,0.67,10.9,7.75,6.02,1.4
108-118,41.75,0,23.16,21.84,23.33,9.69,0,5.69,2.24,29.24,0,0,0,574.28,4.6,6.36,3.07,49.2,0,1.93,3.67,0,0,6.48,0,0,0,0,0,0,0,13.67,27.36,3.64,0
120,38.12,1.69,2.48,20.66,15.06,2.81,0,12.53,0,9.67,0,0,0,609.38,0,8.06,12.61,56.46,0,0,0,0,0,5.22,0,0,0,0,0,0,0,72.64,25.76,13.47,0
