stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,3.97,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,12.27,0,0,0,0,0,1.03,0,3.23,4.1,0,0,0,0
 24-34,0,0.84,9.93,0,1.26,0,0,0,0.87,0,0,0,0.94,0,0,0,0,0,1.77,0,0.87,34.45,1.35,0,0,0,0,1.4,0,0,18.06,0,0,1.71,0.84
 36-46,0,0,12.99,0,2.23,3.08,1.06,0,1.8,0,0,0,0,0,0,0,2.33,4.98,0,0,0.59,91.77,0,0,0,0,0,22.51,14.95,0,23.5,0,0,0,16.67
 48-58,0,0,21.12,0,3.29,0,6.24,0,4.3,0,0,3.27,0.39,0,0,0,2.95,8.32,0,0,1.17,91.79,3.25,0,0.7,0,0,11.21,0,0,21.93,0,0,3.61,21.1
 60-70,0,0,19.89,0,16.18,0.69,3.57,0,0.65,0,0,1.14,0.71,0,0,0,0,4.65,0,0,0,114.93,0,0,0,0,1.22,1.45,0,0,21.65,0,0,0,35.16
 72-82,0,0,19.64,0,16.6,0,0.7,0.5,2.15,0,0,0.71,0,0.57,0.74,0,0,6.13,2.28,0,0,134.41,0,0,0,0,0,2.38,0,0,3.29,0,0,0,26.12
 84-94,0,0,30.61,0,15.26,0,9.07,0.78,7.34,0,0,1.59,0.92,3.2,0,0,0,0.66,0,2.45,1.76,95.44,0,0,0,0,0,2.54,0,0,1.6,0,1.05,0,10.06
 96-106,0,0,41.2,0,8.77,0,8.15,0,2.21,0,0,7.53,0,0,0.75,9.82,0,6.74,1.75,0,0,71.64,0,0.81,0,0,3,2.75,0,0,6.32,0.8,0,3.18,37.28
108-118,0,0,37.37,0,9.91,0,8.01,0,4.08,1.89,1.7,4.1,1.08,4.23,1.8,0,0,6.91,6.43,0,0,126.17,0.5,1.23,1.36,0,1.6,3.67,0,0,7.59,0.67,0,2.02,43.2
120,0,0,27.81,0,26.61,0,5.44,0,4.2,0,0,7.96,6.18,0,0,0,0,14.1,0,0,0,141.91,5.7,0,0,0,0,14.24,0,0,21.86,0,0,3.36,13.12
