stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,spinal.cord
  5-6,29.02,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,8.54,0,0,0,0
 10-12,0,0,5.96,0,0,0,4.25,0,0,11.22,0,0
 14-21,0,1.67,0,0,0,0,6.61,0,0,0,5.24,0.88
 24-34,0,0,0,0,0,1.07,2.25,0,0,0,0,0.81
 36-46,0,0,0,0,0,0,0,0,0,0,0,5.57
 48-58,0,0,0.38,0,0,0,2.74,0,0.64,0,0,7.68
 60-70,0,0,4.7,0,0.87,0,18.71,0,1.19,0,0,9.27
 72-82,0,0,0,0,0,1.12,19.8,0,2.21,0,0,0.94
 84-94,0,0.8,2.11,0.94,1.02,0,30.27,0,0,0,0,5.57
 96-106,0,0,3.24,0,0,0.61,13.31,0,1.18,0,0,0
108-118,0,0,1.48,0,0,0,10.99,0,0.47,0,0,4.5
120,0,0,0,0,0,0,13.77,0,0,0,0,0
