stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,1.09,0,0,0,0,0,0,0,0
 24-34,0.76,0,0,1.33,0,0,0,0,0,0,0,0,1.6,0,0,0,9.57,0,0,0,0,0.74,1.51,0,0,0,0
 36-46,0,0.86,0,2.56,4.41,0,1.02,0,2.25,0,0,0,1.03,0,0,0,2.13,0,0,0,0,0,2.14,0,6.05,0,0
 48-58,0,0,0,0.57,5.03,0,1.85,0,0,0,0,0,0,0.48,0,1.8,9.76,0,0,0.91,2.65,0,2.32,0,0.51,0,0
 60-70,0,3.26,0,12.05,13.41,0,1.53,0,0,0,0,0,10.78,0,0,1.72,5.27,0,0,0,0.75,0,2.71,0,0,0,0
 72-82,0,0.55,0,19.13,8.29,0,1.19,0,0,0,0,0.53,5.54,0,10.66,0,11.07,1.41,0,0,6.29,0,0,0,0.52,0,0
 84-94,0,1.09,0,13.27,1.63,0,1.43,0,0,0,0.79,0,17.22,0,0.84,1.98,9.22,0,1.06,1.08,2.43,0,0,0,0,0,0
 96-106,0,2.23,4.21,24.83,8.85,0.81,4.08,0,0,1.39,0,0,3.13,0,7.82,10.46,10.23,0,0,0.7,0.74,0,0,0,0,0,8.27
108-118,0,2.27,0,16.52,14.99,6.46,0.54,18.79,0,0.47,0,0,1.05,0,14.53,4.24,23.37,0,0.43,4.83,1.93,0,0,0,0,2.62,0
120,0,1.45,0,2.13,4.87,3.49,0,1.04,0,0,0,0,2.35,0,0,0,11.09,0,0,0,1.6,0,0,1.46,0,0,0
