stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,129.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.59,142.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.76,0,0,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,201.68,0,0,52.62,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.33,0,6.93,0,0,16.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.78,0,0,26.85,0,0,0,9.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.83,1.7,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,5.63,0,0,0,0,0,1.06,0,0,1.73,0,0,0,0,0,0
 24-34,0,0,0,0,0.68,0,1.6,0,0,0,0,0,0,0,0,0,0,0.61,10.46,0,6.19,0,1.28,8.73,0,0,0,0,0,0,0,0,0,3.03,0,0,1.24,0,0
 36-46,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,2.23,0,0,0,0,4.5,12.43,0,0.78,23.18,0,0,0,12.95,0,0,0,0,0,4.08,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.95,0,0,0.86,0,0,0,0,2.46,0,0,0,0,0,17.13,0,2.56,17.65,1.19,0,0,9.84,0,0,0,0,0,0,0,0,1.36,0,0
 60-70,0,0,0,0,0.76,0,27.14,0,0,0,2.09,0,0,0,13.14,0,0,0,0,0.95,33.58,0,3.01,26.09,2.63,0,0,12.81,0,0,0,0,0,2.19,0,0,1.91,0.81,13.34
 72-82,0,0,0,0,2.87,2.62,17.65,0,0,6.44,4.99,1.62,0,0.53,1.13,0,4.38,0,0,0,53.3,0,1.09,43.56,6.31,0.82,0,10.17,0,0,0,0,0,10.25,1.87,0,2.12,0.69,16.87
 84-94,0,0,0,0,3.63,8.51,13.32,0,0.6,0,3.31,2.43,0,0,7.28,0,3.42,0,0,5.94,56.7,2.02,6.07,13.78,8.68,0,0,27.74,0,0,0,0,0,1.8,0,0,11.45,0,0.73
 96-106,0,0,0,0,8.97,2.43,11.6,0,0,1.12,3.03,4.16,0,0,7.54,1.54,0,2.27,7.81,0,36.63,0,2.54,26.25,5.78,2.86,0,26.28,0,0,0,0,0,0,1.59,0,6.73,0,2.1
108-118,0,0,0,0,2.73,0.55,12.54,0,0,0,2.96,4.84,0,1.02,6.09,3.29,0.71,3.04,0,0,60.74,0,2.76,32.22,4.56,0.77,0,28.03,0,0,1.78,0.49,0,0,0,4.9,6.56,0,8.07
120,0,0,3.9,0,6.06,2.21,0,1.21,0,0,0,2.27,0,0,12.63,7.98,0,0,1.2,0,58.49,0,3.45,56.83,2.22,0,0,24.96,1.53,0,0,0,0,0,2.39,0,5.45,0,0
