stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,106.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,388.93,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0
  7-9,13.89,13.44,0,0,11.49,0,3.42,0,0,0,0,0,202.25,0,0,20.99,0,0,0,0,0
 10-12,0,9.78,0,0,3.94,0,4.92,0,0,0,0,0,146.3,4.18,0,27.17,0,0,0,0,0
 14-21,0,0,6.28,3.03,6.45,1.87,0,0,0,3.44,0,6.11,41.68,0,0,0,1.66,17.12,19.19,10.7,0
 24-34,0,0,0.63,0,0,5.45,0,0,0,0,0,1,6.82,0,0,0,3.66,0,0,4.59,0.85
 36-46,0,0,0,0,2.48,0,0,0,0,0,0,0.57,3.68,0.97,0,0,1.14,0,0,0,0
 48-58,0,0,0,0,0.93,0,0,0,0,1.44,0,0,5.8,0,0,0,1.99,0,0,0.78,0
 60-70,0,0,0,0,0,1.45,0,0,0,0,0,0.74,6.13,0,0,0,2.48,0,0,2.12,0
 72-82,0,0,0,0,2.36,1.43,0,0,1.36,1.01,0,0.53,1.95,0,1.38,0,0,0,0,0,0
 84-94,0,0,0.59,0,0,0,0,0.68,0,4.66,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,3.58,0,1.37,0,0,0.99,0,0,3.08,0,3.05,0,0,0,0,0,0,0,0
108-118,0,0,1.7,0,0.74,2.38,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,8.77,0,0,0,0,1.97,0,0,7.82,0,0,0,3.08,0,0,0,0
