stage,axial,blastomeres,endoderm,eye,hatching_gland,immune,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,37.34,295.14,0,0,0,0,0,0,0,0,0,0
  5-6,112.31,1293.82,0,0,0,0,0,0,0,48.77,0,0
  7-9,4.37,39.05,16.47,68.79,8.68,0,602.98,12.57,117.71,0,0,0
 10-12,0,0,0,21.44,0,0,63.44,7.26,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.81
 24-34,0,0,0,0,0,0,0,0,0,0,1.68,0
 36-46,0,0,0,0,0,0,1.92,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.63,0
 84-94,0,0,0,0,0,0.98,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.89,0
120,0,0,0,0,0,0,0,0,0,1.13,0,0
