stage,epidermis,eye,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0
 24-34,0,0.72,0,0,0,0,0,10.38,1.23,0,0,0,0.75,0
 36-46,0,0.82,0,0,0,0,1.94,31.51,0,0.87,0,0,10.67,0
 48-58,0,7.44,0,5.15,0,0,0,21.13,0,0.81,0,0,3.25,0
 60-70,0,0,0,0,0,0,1.35,39.75,0,0.84,0,0,2.99,0
 72-82,0,1.39,0.5,0.79,0,0,0.93,32.56,0,0,0,0,1.1,0
 84-94,0.68,9.33,0,0.55,0,0,4.97,28.33,0,2.14,0,0,0,0
 96-106,0,0,0,0,0,0,0,30.19,0,0,1.14,0,2.11,0
108-118,0,1.88,0,0,0.42,0,0.69,17.44,0,0,0,3.43,0,1.36
120,0,0,0,0,0,3.39,0,30.09,0,0,0,2.73,0,0
