stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,113.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,163.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.27,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.21,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,49.04,8.6,0,0,15.49,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.5,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,6.73,0,10.16,0,1.93,1.79,0.9,2.01,0,0,0.87,1.21,0,0,0,0
 24-34,0,0,0,0,0.6,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,18.63,0,54.16,0,0,0,0,0,0,0,0,1.03,0,0,0,0
 36-46,0,0,0,0,18.9,0,0,13.52,0,1.25,0,1.08,0,0,0,0,0,0,0,0,0,0,86.5,0,49.37,1.71,0,0,0.74,0,0,0,0,2.88,0,0,0,0
 48-58,0,0,0,0,0,0,0,38.9,0,0,0,0.83,0,0.49,0,0.87,0,0,0,0.74,0,0.44,98.58,0,33.24,1.51,0,0,0,0,0.74,0,0,18.79,0,0,0,0
 60-70,0,0,0,0,0.93,0,0,336.36,0,0,0,5.79,1.76,0,0,0,0,0,0,3.76,0,2.19,219.17,0,29.36,7.64,0,0,0,0,0.58,0,0,43.7,0,0,0,0
 72-82,0,0,0.5,0,0,0.56,0.52,785.91,1.87,0,0.78,12.24,0,0,0,0.79,0,5.24,0,8.8,0,1.86,398.43,0,56.65,14.65,0,0,0,0,0,0,0,67.75,0,0,0,7.01
 84-94,0,0,0,0,0.71,0.56,0,609.07,0,0,0,6.28,0,0,0.7,0,0,1.79,0,2.9,0,1.75,197,0,97.43,11.49,0,1.59,0,0,0,0,0,41.77,0,2.38,1.16,0
 96-106,0,0,0,0,7.87,1.02,0,1129.19,0,0,0,21.95,0,0,1.26,0.86,0,1.8,0,17.06,2.34,0,246.73,0,183.13,27.04,0,3.1,0,0,0,0,0,32.09,0,1.81,0,0
108-118,3.02,0,0,0,8.4,0,8.45,1176.73,0,1.45,2.26,7.79,0,0,1.27,2.67,1.01,2.2,3.5,10.79,0,2.24,363.12,1.73,119.82,30.47,0,0.43,0,0,0,0,0,11.58,2.33,2.8,0,0
120,0,0,7.01,0,4.71,0,1.14,1593.96,0,2.21,0,24.17,1.73,0,0,0,3.65,5.75,0,22.75,0,4.95,527.88,0,158.38,41.28,0,3.73,0,0,3.91,1.64,0,21.08,3.57,0,0,0
