stage,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,8.23,0,0,13.85,5.47,0,0,0,0
 14-21,0.98,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,2.05,0.94,0.8,0
 24-34,1.26,0,0,0,0,0,0,0,8.68,1.62,2.67,0,0,0,0,0,0,1.93,0
 36-46,0,0,0,0,0,0,0,0,5.7,0.72,2.16,0,0.62,0,0,0,0,0,0
 48-58,3.11,0.67,0,0,0,0,0,0,1.35,0.81,1.42,0,0,0,0,0,0,0,0.47
 60-70,15.58,4.75,0.74,1.45,0,0,0,0,3.29,0.9,5.49,0,0,0,0,0,0,0,0
 72-82,4.75,0.87,0,1.44,0,0,0,0,8.47,0,1.06,0,0,0,0,0,0,0,1.23
 84-94,2.17,0.94,0.56,2.3,0,3.24,0.89,0,2.93,0,0.81,0,0,0,0,0,0,0,0.58
 96-106,2.3,8.75,0,6.94,0,0.64,0,0,2.92,0.7,0.59,0.79,0,0,0,0,0,0,4.01
108-118,3.17,6.01,0,1.55,6.73,0,0,1.13,3.14,0,4.23,0,0,0,0,0,0,0,1.93
120,2.48,0,0,0,0,1.79,0,9.76,0,0,0,0,0,0,0,0,0,0,11.26
