stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.11,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,822.98,9.79,0,0,0,0,0,16.55,0,10.11,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,286.67,8.97,0,2.71,0,0,0,0.84,0,7.81,0,0,7808.9,0,0,0,0,3.09,608,0,0.93,102.3,1.74,1.1,2.56,1.46,0,216.74,0,12.83,4.55,1.53,4.24,19.83,0,0,0,0,0
 24-34,4.02,1.05,0.68,478.49,10.61,0,31.54,0,51.27,0,6.93,0.73,6.85,2.61,0.87,26513.72,1.57,3.08,6.69,0.65,68,3450.89,0,20.91,570.41,17.22,7.07,5.55,0,0.99,124.29,0,0.76,1.62,6.66,3.25,75.29,0,0,15.19,0,6
 36-46,0,0.85,0.56,461.21,0,0,30.4,0,98.32,0.95,12.04,0,0,3.18,13.25,14760.15,0,0,0,13.38,26.54,1795.25,0,5.69,345.22,0.57,4.78,0.74,0,0,131.84,0,0,0.59,0,0,52.78,0,0,34.92,0,3.23
 48-58,0,0,0,570.04,0,0,55.77,0,41.64,5.31,20.3,5.5,0,0.58,0,5629.28,0,0.5,48.78,1.56,23.23,882.51,0.69,1.8,284.48,9.78,0.43,11.03,0,0,102.42,0,0,0,1.71,0,57.01,0,0,4.55,0,16.33
 60-70,0,0,0,716.28,0,0,91.3,1.02,102.32,0,12.48,5.79,0,0,6.83,4436.43,0,15.51,0,7.99,14.55,379.11,1.12,0,135.73,0,0,2.83,0,0,79.51,0,0,1.95,0,0,9.5,0,0,2.51,0,0.99
 72-82,0,0.88,1.12,291.41,5.15,0,110.64,0,37.62,0.78,27.48,35.99,0,2.04,2.74,7353.38,0,0,6.13,0,38.83,332.95,9.68,1.19,127.49,0,9.63,15.58,0,4.68,30.44,0,0,0,3.15,0,9.6,8.58,1.75,13.62,0,6.53
 84-94,0.62,0,0.8,1108.49,10.51,1.39,80.28,0,96.26,1.12,24.63,28.75,0,0,8.21,10616.8,0,29.26,4.97,4.83,32.98,644.06,0.72,2.12,113.69,0,72.45,2.16,0,0,124.7,0,0,16.61,0,0,15,4.08,0,10.55,0.91,9.91
 96-106,0,3.56,0,2081.57,57.94,2.65,278.93,0,64.46,3.13,59.93,116.79,0,4.27,6.59,13820.31,16.65,87.13,19.94,0.98,149.11,779.85,5.08,8.31,314.81,0,135.5,37.61,0,2.4,102.22,0,0,1.21,6.18,0,20.2,33.39,1.74,10.7,4.89,5.34
108-118,0,0.84,1.54,1559.16,13.19,8.49,140.56,0.43,43.13,5.1,24.73,1.94,0,0,24.99,11988.7,12.7,83.66,0,1.11,81.57,616.31,2.45,10.18,250.84,1.65,91.76,14.18,0,1.02,73.48,0,0,3.32,0,0,6.98,10.96,0.67,5.57,1.6,4.43
120,0,0,0,1232.01,1.46,1.89,100.39,0,50.75,10.32,38.27,77.62,0,0,1.5,6529.42,0,20.04,33.6,0,17.99,242.05,0,1.82,265.37,0,45.64,2.92,0,0,62.3,0,0,26.26,0,0,14.35,0,0,0,0,0
