stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,12.15,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73,0,0,9.67,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0,0,2.2,24.17,0,0.69,0,1.06,3.13,0,7.45,0,0
 36-46,0,0,0,2.51,0.73,0,0.83,0,0,0,0,0,3.43,0,0,6.84,30.29,0,0,0,0,0,6.28,8.13,0,0
 48-58,0,0,2.55,16.44,0.77,0,1.31,0,0,0.5,0,0.37,0.56,1.66,0,1.03,20.55,0,3.65,0,4.1,0,4.64,5.29,0,0
 60-70,0,0,0,22.92,0,2.35,0,0,0,0,0,0,0,2.61,0,0.6,18.66,0,0,0,5.31,0,0,1.5,0,2.89
 72-82,0,0.86,0,13.1,0,0,6.42,0,0.49,0,0,0,0,1.45,0,0,16.15,1.65,0,0,0,0,0,0.7,0.51,0
 84-94,0,0,1.2,4.26,0,0,2.58,1.28,0,0,1.46,0,0,0.79,0,1.89,6.02,0,0,0,0.67,1.35,0.62,0,0,0
 96-106,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0
108-118,0,0,0.47,2.88,0,0.48,0,2.22,1.14,3.22,0,0,0,2.23,0.91,0,1.44,0,0,0,0,0,0,0,0,0
120,0,0,0,11.02,0,0,0,0,0,0,0,1.43,0,2.2,0,2.44,12.05,0,0,0,1.94,0,0,0,0,0
