stage,erythrocytes,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,presomitic.mesoderm,vasculature
 10-12,0,0,0,0,0,0,0,10.32,0,0
 14-21,0,0,0,0,0,0,0,0,0.84,0
 24-34,0,0,0,0,5.49,1.7,0,0,0,0.93
 36-46,0,0,0,0,3.32,0.61,0,0,0,0
 48-58,0,0.45,0,0,9.14,0,0.54,0,0,0.96
 60-70,0.67,0,0,0,0.83,1.36,0,0,0,2.71
 72-82,2.76,0,0,0,13.29,8.82,0,9.91,0,0
 84-94,0.81,0,0.74,0,29.98,4.88,0,0,0,2.46
 96-106,0.72,0,0,0,20.4,5.22,0,0,0,2.69
108-118,0.5,0,0,0.45,25.86,3.86,3.94,0,0,1.19
120,3.88,0,0,0,44.92,0,0,0,0,0
