stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,1.82,1.36,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,232.99,0,0,24.53,21.01,0,0,8.14,0,2.3,1.53,0,0,0.9,2.38,0,0,0.85,0,0
 24-34,0,0,0,32.61,0,0,5.45,0,0,0,0.73,0,0,0,0,0,0,0,0,1034.82,0,0,36.54,32.69,18.05,0,59.06,0,0.65,0,0,0,0.74,5.02,0,0,3.52,0,0
 36-46,0,0,0,13.87,1.4,0,4.46,0,0,2.19,2.12,0,3.63,1.75,0,0,1.19,0,0,2615.39,0,0,18.29,55.35,18.12,2.59,174.95,0,0,0,0,0,0.83,13.22,0,0,0,0,0
 48-58,0,0,0,23.52,2.84,0,84.94,3.64,1.42,13.14,23.52,0,0.69,0,0,5.96,1.39,4.81,0.45,9043.09,0,0.42,11.91,241.7,59.15,0,499.88,0,7.19,0,0,0,0,38.21,0,0,0.75,0,18.84
 60-70,0,0,0,65.41,5.84,0,312.13,2.59,2.73,1.86,60.34,3.45,1.36,7.41,0,0,0,1.32,9.48,27522.1,0,6.51,27.58,352.17,0,0,979.19,3.31,31.1,0,0.73,0,0,61.69,0,1.22,19.26,0,11.64
 72-82,0,0.79,0,106.69,37.75,0,977.26,14.37,4.34,16.51,117.19,1.23,0,6.05,0.61,0,1.46,8.32,0,44124.47,1.83,7.74,32.95,674.62,13.84,5.66,1607.74,8.65,20.73,0,10.49,2.12,0,33.09,9.9,7.32,36.66,3.14,95.65
 84-94,0,1.2,0,143.97,16.64,0,1055.14,10.77,7.9,13.02,88.54,5.74,0.98,5.34,5.06,47.33,0,2.32,41.4,40980.92,4.63,14.32,39.91,301.52,23.87,3.63,1704.92,2.35,39.27,0,5.18,3.89,0,19.64,8.13,28.27,5.33,36.19,13.49
 96-106,1.12,3.34,1.03,206.87,21.55,7.31,677.21,5.41,16.12,25.91,95.68,10.06,2.8,33.15,13.93,2.81,6.84,31.48,0,26695.83,7.11,13.11,8.8,471.75,0,9.47,2250.89,2.14,46.86,0,2.58,1.96,0,17.98,5.26,15.75,30.07,24.65,16.12
108-118,3.02,0,0,102.24,19.12,5.53,641.05,0.44,9.87,18.09,67.11,11.29,1.27,27.25,6.31,3.09,11.21,0.76,0,21627.01,5.68,4.96,24.51,463.76,4.28,3.13,1975.44,2.45,22.07,0,0,0,0,19.59,0,9.69,15.24,0.57,24.54
120,1.12,0,0,124.72,17.32,3.3,390.99,0,3.32,0,72.79,12.13,0,0,0,2.63,0,41.67,0,18356.17,6.25,2.13,8.71,260.11,46.63,0,1692.3,0,28.02,0,0,1.63,0,3.48,2.06,16.45,2.28,5.66,14.15
