stage,blastomeres,eye,neural,notochord,olfactory,spinal_cord,visceral_smooth_muscle
  5-6,6.62,0,0,0,0,0,0
  7-9,0,0,8.23,9.23,0,0,0
 36-46,0,0,2.2,0,0,0,0
 48-58,0,0,0,0,0,0.65,0
 60-70,0,6.9,1.06,0,0,0,0
 84-94,0,0,0,0,0,0,0.89
 96-106,0,0,0,0,0.87,0,0
