stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,8.7,0,0,0,0,0,0,14.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.71,0,0,0,14.07,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.02,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.84,8.45,0,0,3.56,0,0,0,0,4.46,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.06,0.8,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,9.97,0,0,0,0,0,1.15,0,3.38,0,0,7.16,0,0,3.85,0,0
 24-34,0,0.83,0,0,2.55,0.62,0,4.39,0,0,0.69,2.7,0,0,0.67,10.01,0,0,0.93,0,6.43,0,0,1.76,37.48,0,40.97,0.65,0,0,0.83,0,0,0,1.54,7.12,0,0,64,0,0
 36-46,0,0,0,0,0,0,0,12.62,0,0,1.09,7.57,0,0,0.75,24.95,0,0,0,0,4.52,0,0,0,96.18,0,44.85,0.65,0,0,7.46,0,0,0,0,4.87,0,0,103.74,0,0
 48-58,0,1.29,0,0,0,0,0,30.35,0,0,0.66,24.54,0,0.39,0.5,65.74,0,0.62,0,0,11.93,0,0,0.9,101.42,0,27.97,4.57,0,0,14.74,0,0,0,1.79,3.19,0,0,63.4,0,1.78
 60-70,0,0,0,0,0.62,0,0,36.49,2.12,0,0.84,43.47,0,0,0,13.37,0.86,0,0,0,18.26,0,0,6.36,70.96,0,25.97,3.82,0,0,0,0,0,0,0,1.43,0,0,33.66,1.13,0
 72-82,0,0,3.12,0,0.5,1.45,0,59.4,0,0,0,81.87,0,0,1.41,48.4,2.17,0,0.49,0,58.2,0,0,0,58.08,0,56.55,35.49,0,0,7.83,0,0,0,0,1.71,0.69,0,77.97,0.79,0
 84-94,0,0,0,0,1.65,1.26,0,62.9,0,1.47,1.42,46.55,2.78,0,3.01,37.2,0,0,1.33,0,75.56,2.14,0.72,1.68,51.25,2.93,133.12,31.51,0,4.17,17.11,7.01,0,0,0,1.5,1.49,0.92,115.23,0,0
 96-106,0,0,2.69,0,6.69,2.43,0.97,132.45,7.02,0,4.22,68.32,5.88,0,24.74,75.18,0.76,1.38,1.8,0.7,159.68,0,0.84,1.43,77.79,0,190.44,33.62,0,0,101.72,0,0,0,0,6.92,1.88,0,87.76,0,0
108-118,0,0,0.76,0.49,4.36,3.02,2.77,89.62,0,2.24,0,58.91,0,0,5.98,25.05,4.36,0,7.89,0,85.16,0.51,0,1.78,30.18,0,101.88,38.46,0,0.89,53.48,0,0,0,0,2.59,5.81,0,91.53,0,0
120,0,0,0,0,4.18,0,0,46.34,0,1.11,0,92.14,0,0,2.95,37.52,0,0,5.27,0,104.57,0,0,0,50.49,0,44.48,35.63,0,0,29.11,0,0,0,0,0,0,0,165.07,7.27,0
