stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites
  3-4,36.81,176.05,0,0,0,0,0,0,0,0,0,0
  5-6,6.49,81.98,0,0,0,0,0,0,0,0,7.54,0
  7-9,0,8.48,0,0,0,0,0,0,4.52,10.36,0,0
 10-12,0,0,0,0,0,0,0,0,10.23,0,0,0
 14-21,0,0,0,1.26,0.94,0,0,0,1.28,0,0,0
 24-34,0,0,0,0,0,0,1.54,0,0,0,0,0.69
 36-46,0,0,0,0,0,2.52,1.09,0,4.65,0,0,0
 48-58,0,0,0,0,0,1.73,0,0,3.2,0,0,0
 60-70,0,0,0,0,0,0.6,0,0,1.06,0,0,0
 72-82,0,0,0,0,0,3.05,0,0,3.8,0,0,0
 84-94,0,0,0,0,0,0.83,0,1.68,0,0,0,0
 96-106,0,0,0,0,0,0.69,1.2,0,0,0,0,0
108-118,0,0,0.74,0.47,0,0,0,0,2.29,0,0,0
120,0,0,0,0,0,0,0,0,2.74,0,0,0
