stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,53.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.43,62.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.58,0,0,3.2,0,0,0,17.41,0,0,0,0,7.95,0,0,0,0,0,0,0,0,0,0,98.81,5.42,0,0,54.46,0,4.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,76.46,0,0,0,34.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.99,42.97,0,0,46.14,0,0,4.8,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,43.27,73.57,10.68,0,12.57,0,0,4.26,17.3,0,0,0,0,0,0,0,26.82,0,0,16.28,99.16,106.81,1.03,11.81,1.1,0,3.7,0,10.08,14.09,0,0,69.65,0,0,0,0,0
 24-34,0,0,0,11.26,5.27,0.69,0,33.92,2.87,0.72,17.85,7.64,0,3.44,0,0,0,0,8.74,90.29,0,0,21.95,125.74,30.6,0.77,5,0,0,6.68,0,0,34.23,0,2.49,37.06,0,0,9.41,0,0
 36-46,0,0,0,0.58,11.65,0,0,21.7,0,3.25,21.48,1.63,0,10.59,0,0,0,7.3,19.86,89.96,0,3.08,48.96,82.77,51.88,1.07,6.75,0,0,11.8,0,0,43.48,0,0,52.09,0,0,10.65,0,0
 48-58,0,0,0,1.15,10.76,0,0,52,0,4.66,45.17,1.77,0,16.35,0,6.73,0,4.44,1.87,135.56,0,1.68,24.19,66.76,21.29,0,18.97,0,0.39,9.54,0,0,36.34,0,0,44.39,0,1.12,20.18,1.91,1.6
 60-70,0,0,0,0,13.53,0,0,48.91,1.5,2.33,93.49,3.47,0,22.15,0,1.22,1.62,7.99,0.87,151.86,0.62,3.98,18.75,89.2,29.21,0,3.97,0,0,11.82,0,0,27.39,0,0,45.91,0,10.38,18.28,6.37,7.71
 72-82,0,0,1.36,0,8.36,1.44,0,92.29,0.68,15.45,170.85,20.37,0,38.18,5.04,1.02,0.76,25.69,2.74,369.84,0,9.57,22.1,85.73,6.2,2.84,23.51,0,17.81,9.12,0,0,33.16,0,0,67.72,0,20.17,47.88,23,9.24
 84-94,0,0,0,0,24.62,0,0.72,204.86,2.31,4.99,128.72,14.51,0,9.49,0,13.58,4.32,15.9,4.54,390.08,0,23.81,25.21,65.57,18.28,0,23.44,0,1.39,28.53,0,0,33.77,1.18,0,56.47,1.9,21.92,40.61,20.96,0
 96-106,0,0,1.68,0.64,36.76,0,3.61,243.45,3.39,15.74,192.34,11.41,0,32.48,6.8,15.18,4.55,39.75,14.91,342.82,0,24.79,9.88,92.3,19.76,1.86,40.45,0,14.03,31.93,0,0,44.07,0,0,100.81,0,17.27,84.52,18.01,0
108-118,0,0,1.85,0.87,42.87,6.15,1.03,434.76,4.29,9.45,217.01,24.41,0,25.49,0.78,10.29,7.13,33.65,7.68,378.1,0.75,18.46,20.13,94.39,17.18,4.71,36.02,0,43.69,28.63,0,0,30.15,0,0,74.69,3.27,25.16,112.91,14.29,0
120,0,0,1.37,0,48.18,0,1.03,251.93,1.8,9.24,277.55,3.01,0,24.42,3.09,8.09,0,36.84,3.79,417.5,1.05,42.03,12.09,140.79,5.45,0,40.47,0,75.7,32.88,2.5,0,44.57,0,0,90.2,0,9.54,78.19,28.12,0
