stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,197.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.26,202.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.97,0,0,0,7.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.41,5.46,0,0,10.17,0,3.57,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,11.21,0,0,0.86,0,0,4.25,0,0,0,0,0,0,0,0,0,3.21,0,1.96,21.19,5.14,0.89,0,0.83,0,0,0,0,2.1,16.85,0,0,0,0
 24-34,0,0,0.71,0.59,0,0,0,3.17,0,0,3.7,1.4,0,0.92,0,0,0,0,0,0,8.59,0,3.22,70.79,0,1.18,0,0,0.7,0,0,0,0,18.15,0,0,0,0
 36-46,0,0,0.95,0.84,0.75,0,0,7.17,0,2.1,4.35,0,1.53,0,0,0,0,0,0,0,30.41,0,1.99,127.34,0,2.42,0,0,0,0,0,0,0,33.94,0,0,0,0
 48-58,0,0,0,0.44,3.38,0,0,13.18,0,1.7,7.8,0,0,0,0,0,0,0,0,0,28.32,0,4.99,57.99,0,0,4.54,0,0,0,0,0,0,7.28,0,0,0,0
 60-70,0,0,0,10.35,0.57,0,0,21.72,1.54,10.09,5.16,0.62,0,0,0,0,5.01,0,6.47,0,35.24,0,5.74,123.89,0,0,1.49,0,0,0,0,0,0,5.53,0,0,0,0
 72-82,0,0,0.78,0,1.66,0.5,0,110.04,1.15,12.09,7.5,5.83,1.12,0,0,0.63,3.93,0,0,4.38,70.46,0,3.03,238.02,0.82,0.54,0,0,2.86,0,0.58,0,0,16.55,0,0,0.94,3.84
 84-94,0,0,0,0,4.31,0,0,36.8,0,24.48,4.95,1.24,0,0,0,0,4.01,0,0.57,0,82.48,0,1.73,108.43,0,0,0,0,4.11,0,0,0,0,19.46,0,0,3.63,5.02
 96-106,0,0,0,0,2.89,0,0,103.66,1.91,4.99,13.01,3.56,0,0,1.86,0,4.92,3.73,2.9,0,62.01,2.1,13.2,273.64,0,2.19,0,0,4.38,0,0,0.6,0,15.76,0,0,0,3.43
108-118,0,0,0.83,0,2.33,0,0,74.07,1.92,11.53,12.15,4.48,0,0,0.58,0.89,19.18,0,0,0,101.75,1.44,6.3,239.66,0,0,0,0,0,0,0.42,0,0,6.09,0.67,0.41,0,8.58
120,0,0,0,0,4.02,0,1.03,2.65,0,2.35,16.95,5.8,0,0,2.83,0,12.63,0,4.47,0,106.65,2.4,19.91,294.92,0,0,0,0,1.05,0,0,0,0,13.56,0,0,0,0
