stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,iridophores,mesenchyme,neural,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,49.2,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.81,0,0.93,16.88,0,0,0.8,5.96,0
 24-34,0,0,0,0,0,0,0,0,33.01,0.61,0,0.84,6,0.75
 36-46,0,0,0,3.2,0,0,0,1.54,43.03,0,0,0,9.01,0
 48-58,0,0,0,2.46,1.59,0,0,0,25.87,0,0,0,0,0
 60-70,0,0,0,3.76,2.01,0,0,3.22,52.71,0,1.94,0,2.23,0
 72-82,0,0,0,3.66,1.19,0,0,0,23.16,0,0,0,2.3,0
 84-94,0,0.63,0.99,4.47,0,0,0,0,21.67,0,0,0,2.33,0
 96-106,0,0,0,4.3,0,0,0,1.01,27.49,0,0,0,0,0
108-118,0,0,0,0,0.9,0,1.79,1.9,20.32,0,0,0,0,0
120,0,0,0,0,0,0,0,9.78,49.36,0,0,0,0,0
