stage,blastomeres,endoderm,glial,ionocyte,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,15.82,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.78,0,0,0,0,0,0,3.8,0,0,0
 10-12,0,0,0,0,0,0,4.37,0,3.47,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.3,0,0,0.65,0,0
 36-46,0,0,0,0,0,0,0.82,0,0,0,1.04,0
 72-82,0,0,0,0.55,3.98,0.59,0,0,0,0,0.57,0
 84-94,0,0,0.57,0,1.73,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.25,0,9.99,0.6,0,0,0,2.05
108-118,0,0,0,0,5.74,0,1.59,0,0,0,0,0
120,0,0,0,0,5.21,0,0,0,0,0,0,0
