stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.94,1.1,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.38,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,22.22,0,15.45,2.91,0,2.91,0,0,0,0,1.5,0,0,0,0,0
 36-46,0,0,0,4.61,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0.68,0,0.66,40.66,0,20.52,0,0,0,0,0,0,0,1.12,0,0,0,0,0
 48-58,0,0,0,1.41,0,0,7.32,0,5.16,0,2.38,0,2.55,0,0,0,0,6.14,0,0.55,87.41,0.49,11.96,11.84,0,0,0,0,0,0,5.37,0,0,0,0,0
 60-70,0,0,0,5.35,0,0,49.08,0,0.96,0,1.04,0,0.61,0,1.84,0,1.64,16.16,0,0.77,207.56,0,44.98,1.1,0,0,0,0,0,0,9.42,0,0,0,0.81,0
 72-82,0,0,0,9.85,10.45,0,70.82,0,0,0,2.86,0,5.81,2.68,9.85,0,0,50.43,0,0.76,397.19,0.85,13.35,6.49,0,0,4.05,0,0,2.68,8.06,0.59,0,0,0,6.31
 84-94,0,0,0,6.65,1.08,0,54.6,0,2.04,0,7.46,5.69,1.46,0,4.39,0,0,67.73,2.76,0,275.18,1.33,12.63,15.85,0,0,2.39,0,2.8,0,17.91,0,0,0,0,0
 96-106,0,1.56,0,7.94,5.35,0.97,94.86,2.82,4.49,1.01,15.3,0.71,2.95,0,9.13,2.46,0,33.65,0,3.16,248.22,2.22,58.39,10.27,0,0,5.99,2.06,0,0,6.09,0,0,2.1,0,0
108-118,0,0.57,0,2.13,0,0,81.18,0.84,6.71,0,10.01,0,3.91,0,15.99,0,1.34,38.6,3.93,0,338.48,1.04,26.04,13.59,0,0,0,0,0,0,15.52,0,2.03,1.59,0,0
120,0,0,0,1.31,2.11,0,121.41,0,1.17,0,32.63,0,0,0,12.82,0,0,24.49,1.26,0,394.87,0,60.29,11.43,0,0,0,0,0,0,11.53,0,0,0,0,0
