stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,11.05,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,1.11
 24-34,1.52,0,0,0,0,0,0,0,0,14.63,0,0.96,0,0,0.63,0
 36-46,0,0,0,0,0,0,0,0,0,6.01,0,0,1.54,0,0,0
 48-58,0,0,0,0,0,0,0,0.43,0,3.27,0,0.37,0,0,0,0.81
 60-70,0,0,0,0,0,0,0,0,0,4.16,0,0,0.82,0,0,0
 72-82,0,2.04,0,0,0,0,0,0.52,0.6,0.66,0,0,9.19,0,0,0
 84-94,0,4.33,4.45,0,1.01,0,0.66,4.82,0,5.36,0,0,8.58,0,0,1.13
 96-106,0,21.44,11.7,0.65,0,0.83,0.65,0.93,0,3.01,0,0,32.17,0,0,0
108-118,0.71,53.25,0.85,0,0,0,0,4.17,0,4.36,2.99,0,40.66,1.92,0,0
120,0,10.17,0,0,0,0,0,0,0,2.55,0,0,49.04,0,0,0
