stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
  5-6,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,20.22,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.52,4.28,0,0,0,0,0,0
 14-21,0,1.07,2.59,0,0.9,0,0,0,0,0,0,0,0,0,0,14.4,1.84,0,2.58,0,0,1.45,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,90.07,0,1.72,13.34,0,0,8.58,0
 36-46,0,0,0.57,0,2.04,0,1.06,0,2.51,0,0,0,0,0.96,0,90.33,0,0,10.47,0,0,4.66,0
 48-58,0,0,3.05,0,8.44,1.34,0,0,8.61,0,0,0,2.52,2.27,0,49.84,0,1.98,5.58,0,0,4.98,0
 60-70,0,0,1.56,0,32.94,0,0,0,5.21,0,1.21,0,3.06,13.17,0,40.42,0,0,21.16,1.22,0,6.31,0
 72-82,0,0,0,0,14.1,0,0,0.94,2.26,0,0,0,11.53,15.28,0,61.56,0,0,35.35,0.61,0,3.75,0
 84-94,0,0,0,0,10.09,0,0,0,0,0.75,0,0,6.81,19.93,0,34.46,0,0,37.32,5.01,0.76,0,0
 96-106,0,0,0,9.73,11.56,0,0,0,4.96,0,0,0.64,11.95,19.13,0,42.71,0,0,81.19,2.81,0,4.63,0
108-118,0,0,0,0,12.14,0,0,0,5.88,0,0,0,11.15,9.16,0.67,81.48,0,0,82.65,2.6,0,0,1.08
120,0,0,1.96,0,26.2,0,0,0,0,0,0,1.57,1.08,12.01,0,28.97,0,2,102.77,4.4,0,0,0
