stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,immune,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord
  3-4,36.4,500.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.74,0,0,0
  5-6,10.07,490.62,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0
  7-9,0,5.98,0,0,0,11.69,0,0,0,0,0,46.32,0,0,0,16.4,0,0,0,0
 10-12,0,8.35,0,0,0,0,0,0,0,0,0,36.36,0,0,0,8.47,0,14.72,0,0
 14-21,0,0,1.05,1.14,7.1,0,0,0,0,2.11,0,15.44,1.48,0,0.89,0,0,0,0.86,1.13
 24-34,0,0,1.94,0,0,0,0,0,0,2.74,0,8.11,0,0,0.68,0,0,0,0,1.8
 36-46,0,0,0,0,0,0,0,0,0,1.46,0,15.68,0,1.39,0,0,0,0,0,0.87
 48-58,0,0,0,0,0,2.56,0.54,0,0.38,0,0,31.39,0,2.08,0,0,0,0,0,2.33
 60-70,0,0,0,0,0,0,0,0,0,0,0,22.43,0,0,0,0,0,0,0,7.87
 72-82,0,0,0,0,0,0,0,0,0,0,0,45.63,0,0,0,0,0,0,0,1.77
 84-94,0,0,0,0,0,3.87,0,1.52,0,0,1.83,26.04,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.34,1.23,0,0,0,22.07,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1,8.11,0,2.74,0,0,0,47.31,0,0,0,0,0,0,0,0
120,0,0,0,0,0,7.53,0,0,0,0,0,35.52,0,0,0,0,0,0,0,14.33
