stage,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,pgc,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0
 14-21,1.07,2.15,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0.9,1.84
 24-34,0,0.68,1.61,0,0.7,0,0,0,0,0,0,0,8.94,0,0,0,0,0,4.61
 36-46,0,8.53,0,1.23,0,0,0,0,0,0,0,0,8.67,0,0,0.59,0,0,0
 48-58,0,2.95,0.49,0,0,0,0,0,2.86,0,3.77,0.65,9.68,0.88,1.64,0,0,0,0.61
 60-70,0,1.68,11.44,0,0,0,0,1.34,0,0,1.12,0,24.95,0,0,1.82,0,0,5.76
 72-82,0,1.01,1.97,0,0,0,0,0.57,0,1.06,2.53,0,4,0,0,0,0,0,0
 84-94,0,0,7.36,0,0,1,0.62,3.57,0,0,0,0,8.65,0,0,0,4.87,0,0
 96-106,0,3.09,1.55,0,0,2.03,0,0,0.94,0,0,0,25.56,0,0,0,1.1,0,0
108-118,0,1.49,2.8,0,0.67,1.59,0,4.04,0,0,2.21,1.71,17.19,0.46,0,1.69,0,0.48,0
120,0,2.82,12.6,0,0,3.02,0,0,0,4.65,8.98,0,31.32,1.03,2.2,0,0,0,0
