stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,31.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.38,0.93,14.44,0,0,0,19.32,0,0,1.23,0,0,0,0,0,1.94,0,0,0,29.97,1.09,0.98,0,0,0,0,0.82,1.06,32.5,0,0,32.51,0
 24-34,0,0.84,7.39,0,6.2,0,0,4.48,0.91,0,0,0,0,0,0,0,3.74,0,0,0,149.21,0,65.59,0,0,0,0,0,0.94,29.89,0,0,63.6,0
 36-46,0,0,1.07,0.73,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,365.52,0,114.92,0,0,0,0,0,2.25,44.21,0,0,10.27,0
 48-58,0,0,2.1,0.44,25.79,0,0,11.2,0,0,0,0.56,0,0,0,0,2.41,0,0,0.43,398.22,0,56.44,0,4.77,0,0,0,0,37.76,0,0,8.95,0
 60-70,0,0,0,2.23,136.3,0,0,40.58,1.23,0,0.84,0.63,0,4.64,0,0,1.43,2.07,0,0,763.83,0,57.41,0,0,0,0,0,0,39.03,0,0,4.9,0
 72-82,0,1.4,1.42,4.05,216.72,7.64,0,37.8,2.8,0,0,0,0,0,3.56,0,10.13,6.21,0,0,916.56,0,72,1.64,0,0,0,0,0,38.69,0,1.34,12.98,1.31
 84-94,0,5.17,11.75,6.07,148.85,0,0,26.49,0.57,1.23,0,1.57,0,0,0,0,8.17,6.54,0,0,736.05,0,63.05,0,0,0,0,0,0,24.31,0,0,10.97,0
 96-106,0,2.19,7.91,4.41,127.24,0,0,27.02,0,0,0,0,0.77,0,0,0,16.14,6.46,0.59,0,682.03,0,96.9,0,0,0,0,0,0,16.21,0.81,0.66,17.65,0
108-118,0,5.9,6.9,0,133.04,1.18,1.71,50.65,1.95,0,0,2.35,0,0,0.6,0.44,24.42,26.12,4.01,0.99,770.81,0,93.49,0.78,0,0,3.59,0,0,16.67,0.67,0,11.26,0
120,0,0,0,0,38.67,18.76,0,18.01,10.83,0,0,0,0,0,0,0,0,26.93,0,0,1416.14,0,108.79,0,0,3.68,0,0,0,5.94,0,0,27.72,0
