stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm
  3-4,0,10.23,0,0,0,0,0,0,0
  5-6,16,55.03,0,0,0,16.64,7.94,0,6.27
  7-9,0,0,8.81,5.84,3.57,14.08,0,9.1,0
 10-12,0,0,0,0,0,26.53,10.77,21.08,0
