stage,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,heart,immune,melanocytes,mesenchyme,muscle,neural,otic,periderm,spinal.cord,taste,vasculature
  3-4,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.99,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.62,0.72,1.62,1.16,0,0.74,0,0.7
 36-46,0,0,0.6,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.59,0,0.59,0.85,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,9.61,0,1.52,0,0,0,2.51,0
 72-82,0,0,0,1.84,0,0,0,0,0,1.38,0,3.72,1.09,0.95,0,0.74,1.03
 84-94,0,0,0,0,0,0,0,0,0,2.32,0,0,0,2.76,0,0,0
 96-106,0,0,0.91,0.67,2.22,0,0,0.69,0,3.22,0,0,0.75,8.73,0,0,0
108-118,0,0,2.08,0,3.74,0,0,0,0,0,0,3.13,0,9.33,0,0,0
120,0,0,0,0,0,1.51,0,0,0,0,0,0,0,9.61,0,0,0
