stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,5664.84,27917.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155.15,0,0,0,0,0,0,0,0,0,0,0
  5-6,7355.13,44969.86,124.25,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,4025.84,657.86,0,0,1817.03,0,2269.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,502.75,450.69,2343.99,0,0,1000.96,0,0,0,0,0,62.79,0,0,0,0,0,0,0,0,0,0,0,9674.21,2098.63,0,0,13822.07,0,206.02,130.4,0,12.83,0,0,0,0,0,0,0,0
 10-12,0,210.66,1726.8,0,38.38,1230.08,0,0,0,0,0,7.47,0,0,0,0,0,0,0,0,0,0,3.87,9297.51,583.73,0,0,1994.38,0,48.46,21.86,8.72,157.19,0,11.28,0,0,0,0,0,0
 14-21,0,0,14.73,448.48,11.1,29.19,0,0,0,15.79,8.51,4.59,4.11,0,0.87,0,1.57,0,1.6,48.51,0,0,57.83,758.14,1102.29,0.84,42.54,234.85,0,6.36,0,166.82,3.75,128.85,41.92,168.43,0,0,14.65,0,1.95
 24-34,0,0,24.71,88.05,0,7.87,0.63,4.32,1.23,24.67,3.89,0,1.02,1.47,3.16,0,14.76,0,0,35.33,1.71,0,31.7,211.74,67.16,0,35.53,0,0,8.28,0,0,5.14,238.35,10.5,80.72,0,0,46.92,0,8.73
 36-46,0,0,0.61,18.73,0,6.03,0,13.9,0,21,0,0,3.79,0,0.57,0,10.83,7.37,0,40.22,0,0.6,11.86,58.12,5.91,0.66,19.69,0,2.91,0.62,0,0,13.52,148.69,0,36.68,0,0,21.11,0,7.17
 48-58,0,0,0,5.99,0,31.21,0,1.8,0,17.45,0.47,0,0,0,0,0,8.36,0,0,67.36,0,2.05,4.72,41.76,3.51,0,16.22,0,3.6,0,0,0,6.45,22.22,0,10.18,0,0,1.6,0,0
 60-70,0,0,0,3.8,0,166.68,0,3.22,0,1.8,0,0,0.66,1.09,0,0,6.82,0,0,93.63,0,0,3.78,32.51,1.13,0,5.3,0,0,0,0,0,2.26,3.31,0,6.92,0,0.83,1.72,0,1.88
 72-82,0,0,0,0.65,0,94.56,0,0.93,1.75,2.92,0.76,0,0.74,0,0,0,9.59,0,0,107.87,0,2.25,0,17.54,0,0,13.01,0,0,0,0,0,4.07,2.54,0,4.21,0,0,1.84,0.75,7.11
 84-94,0,0,0,3.04,0,52.36,0,2.41,1.01,1.2,1.73,0,0,0.71,1.49,0.65,17.05,0,0,71.8,0,0.57,5.2,17.06,0.98,0,8.71,0,0,2.59,0,0,2.32,0,0,8.68,1.46,7.4,0,0,0
 96-106,0,0,0,7.35,0,51.13,1.98,6.17,0,0,0,0,2.28,1.3,0,0,17.69,0,0,100.73,0,0,0,8.52,0,0,6.04,0,0,0.68,0,0,3.49,1.75,0,0,0.59,0,0,0,0
108-118,0,0,0,2.92,0,54.37,0,1.95,0.73,3.46,0.91,0,0.43,0.6,0,0,8.95,3.36,0,105.47,0,0,0.59,5.03,0,0,7.27,0,0,2.41,0,0,0,0,0,1.44,0.5,2.1,0,0,0
120,0,0,0,1.09,0,19.96,0,0,5.31,0,0,0,0,0,0,0,1.76,0,0,36.42,0,1.83,0,35.85,0,1.09,4.36,0,0,0,2.5,0,1.22,0,0,0,0,3.74,0,0,0
