stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91,0,0,0,0,684.53,0,0,2.78,1.27,0,0,0,0,0
 24-34,0,0,0,41.59,2.36,0,46.3,0,11.92,1.23,4.82,5.68,1.09,0,8.39,17.67,0,0.62,1.38,0.95,66.94,62.08,0,38.45,935.28,21.64,1.63,11.44,0.99,16077.13,0,16.09,3.35,91.42,0,0,42.48,0,14.31
 36-46,0,0,0,25.85,4.65,0,93.71,8.83,14.01,0.71,37.94,0,0,1.2,1.56,21.41,3.71,0,10.06,12.75,45.55,166.41,0,14.09,765.79,1.41,5.65,23.75,7.92,34980.52,1.16,5.28,3.19,129.78,0,0,53.4,0,20.88
 48-58,0,0.46,0,63.75,3.85,0,430.67,1.63,28.36,6.32,126.54,10.32,0,0,15.44,11.88,0.41,1.18,4.1,139.21,128.06,193.98,0.54,34.61,1245.95,12.83,14.15,3.24,0,31679.68,0,2.58,0,188.85,0,1.5,22.44,0,70.83
 60-70,0,0,0,32.38,3.72,0,447.76,1.71,36.86,12.59,46.29,3.6,0,0.92,0.8,86.99,0.98,2.94,5.15,1.24,85.47,372.63,8.09,7.71,817.88,6.25,11.79,9.78,0,22331.5,0,1.35,0,109.79,0,0,14.33,0,31.05
 72-82,0,0.5,0,14.32,20.43,0,221.54,3.4,1.63,4.86,27.02,1.46,0,3.07,6.42,4.03,5.53,0.6,11.48,0,90.31,289.27,8.71,4.98,398.1,0.82,3.64,4.49,2.81,17238.33,0.73,0,0,30.31,0,3.38,6.79,4.49,26.78
 84-94,0,2.24,0,40.81,35.98,0,214.46,2.36,53.73,0.8,17.11,4.42,0,0,2.94,168.01,8.31,0,3.78,16.82,86.6,349.05,4.04,9.39,281.36,15.48,6.09,3.99,0,39572.45,13.38,0.78,0,13.86,5.02,1.8,16.38,4.49,0
 96-106,0,0,0,73.93,18.56,0.66,233.38,0,18.04,6.17,25.31,1.13,0,0,5.35,59.75,22.66,2.21,13.22,0,125.76,475.89,13.73,4.26,311.71,0,7.02,2,0,28336.06,0,5.2,0,16.72,0,0,10.4,6.33,14.57
108-118,0,0,0.74,21.63,8.43,0.46,103.46,0,13.46,3.18,18.31,0,0,0,0.58,88.17,0,1.25,8.44,0,64.4,330.49,1.96,2.26,147.58,0.98,1.06,0.63,0,15687.25,0,0,0,4.85,0,0.82,6.24,0,4.31
120,0,0,0,29.11,12.07,0,68.79,7.63,4.62,0,7.03,6.3,0,0,5.73,0,0,2.98,11.33,0,60.41,0,34.23,5.63,274.77,0,0,14.64,13.5,10038.05,0,0,0,22.69,0,2.41,11.6,0,0
