stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,63.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.79,0,0,0,0,0,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.26,0,0,1.53,0,0,0,0,0,0,0,3.31,3.18,0,0,0,0,0,0,0,0,27.53,4.13,0,0,0,0,0,0,1.77,0,0,0,0,0
 24-34,0,0,0,0,0.95,0,0,5.96,0,0,0,0,0,0,0,1.66,1.21,0.97,0,1.07,0,2.1,0,0,3.09,248.63,0,5.36,0,0,0.81,1.39,1.28,453.97,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.31,0,0,0,95.35,0,0,0,5.38,0,0,0,0,0,2.68,0.58,0,0,1517.09,0.55,0,0,0,2.96,2.08,7.1,78.84,0,0,0,0,0
 48-58,0,0,0,0,1.21,1.34,0,23.46,0,0,0,3.74,0,0,0,5.35,0,0.72,0,0,6.3,0.81,0,0,0.4,2145.55,0,0,17.76,0,1.79,0.8,0,1.1,0,0,0,0,0
 60-70,0,0,0,0,0.77,0,0,5.53,0,0,0,4.22,161.88,0,0,0.65,0,0,0,0,0,0,0,0,0,2127.03,0,0,0,0,2.2,8.17,0,0,0,0,0,0,0
 72-82,0,0,59.95,0,6.79,7.95,0,60.07,1.48,0,0,17.36,3481.5,0,0,0,0,0,0,0,0,16.78,1.01,0.81,0,4378.76,0,0,0,0,1.84,4.29,0,7.35,0,0,3.37,0,0
 84-94,0,0,250.47,0,72.26,0,0,621.68,0,0.85,0,13.53,4625.54,0,0,2.69,0,0,20.44,0,0,11.25,0,0,0,2501.48,0,0,12.2,0,5.16,4.93,0,0,0,0,0,0,0
 96-106,0,0,23.45,0,34.58,1.3,2.24,238.57,2.89,4.28,1.54,11.66,7182.75,0,0.72,4.53,0.56,5.85,0,1.52,0,50.69,0,0,6.5,2521.4,0,5.17,0,0,10.99,4.23,0,2.65,1.52,0,0,0.91,0.8
108-118,0,0,12.82,0,33.12,4.42,3.97,166.46,0.49,11.47,1.63,187.38,4110.91,0,0,0,0.41,0.44,0,26.83,0,14.25,0,0,2.84,5733.06,0.78,0.96,5.73,2.35,3.42,3.84,0,1.2,1.35,2.3,5.09,0,2.8
120,1.19,0,0,0,308.11,0,0,26.98,0,0,2.1,84.61,8353.34,0,0,5.91,0,0,0,3.15,0,171.81,0,0,0,8010.78,2.11,0,11.71,0,3.33,5.78,0,14.6,1.28,0,2.4,0,0
