stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.69,46.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,21.54,0,8.42,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.24,0,0,0,30.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.41,0,0,0,29.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,0,2.17,0.82,0,0,0,0,0,4.33,0,0,0,0,6.01,1.29,0,0,0,0,0.86,4.33,1.39,7.03,0,0,0,0,0
 24-34,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,5.67,0,6.18,0,2.49,47.28,0,10.46,1.55,0,0,13.48,7.8,0,18.58,0,0,0,0,0
 36-46,0,0,1.03,0,0,0,0,4.02,5.01,0,0,0,0,0,0,0.86,3.34,1.64,0,2.77,0,6.33,107.6,1.78,6.02,3.49,0,0,4.26,27.67,0,31.05,0,0,0,0,0.93
 48-58,0,0,0.49,0,0,0,0,31.08,1.17,0.41,17.39,0,0,0,0,0,0.54,2.08,3.52,5.53,0,0,262.24,0,7.99,22.97,0,0,0.43,11.66,0,31.34,0,0,3.4,0,11.21
 60-70,0,0,0,0,0,0,0,123.14,1.34,0,33.31,0,0,0,0,0,6.76,2.49,3.14,8.22,0,0,514.22,0,5.54,14.33,0,0,0.76,12.73,0,50.81,0,0,0,0,9.1
 72-82,0,0,7.85,1.72,2.04,4.25,0,233.12,0.49,7.93,128.28,7.81,0,0,0,0.49,4.88,4.31,4.26,21.52,0,3.51,706.87,0,11.94,35.4,0,1.9,4.11,2.69,0,62.62,0,0,1.55,5.5,7.25
 84-94,0,0,5.66,12.86,1.36,0,0,325.9,4.23,3.95,95.9,6.27,1.02,0,0,1.13,7.68,16.11,17.2,13.02,0,2.28,516.21,0,6.5,34.06,0,1.85,9.07,5.88,0,37.72,4.61,1.91,1.18,6.02,8.08
 96-106,0,0,8.11,14.74,7.81,3.43,0,332.68,0,3.36,132.47,20.84,0,0,0.6,0.76,16.64,19.89,8.59,23.53,1.68,0,612.75,0,12.99,37.71,0,3.23,5.55,9.34,0,16.49,0.63,0,1.93,3.7,42.87
108-118,0,0,9.63,14.92,1.82,6.19,0,327.52,8.93,0,184.09,27.14,3.91,0,0,0.44,14.52,21.1,40.98,27.22,0.92,4.39,718.02,0,7.69,45.95,0,1.08,5.03,18.97,0,45.42,1.68,0,2.77,4.11,54.41
120,0,0,22.54,4.41,14.11,2.66,14.01,411.48,6.51,0,210.27,78.55,0,5.05,0,0,35.23,3.84,16.38,34.22,0,5.1,1398.32,0,23.01,55.48,0,3.23,7.89,5.74,0,40.22,0,0,0,0,26.66
