stage,epidermis,erythrocytes,eye,gut,liver,neural
 24-34,0,0,0,0,0.79,0
 36-46,0.68,0,0,0,0,1.36
 60-70,0,4.68,0.95,0,0,0
 96-106,0,0,1.03,0,4.84,0
108-118,0,0,0,0.6,3.9,0
